ZipCode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,Label
76527,2022-04,56013.3579,493.876455084459,0.0531,0.021,All Residential,0.047,0,0.069,326413.654183834
76527,2022-04,56013.3579,493.876455084459,0.0531,0.021,Condo/Co-op,0.047,0,0.069,286549.327590402
76527,2022-04,56013.3579,493.876455084459,0.0531,0.021,Multi-Family (2-4 Unit),0.047,0,0.069,366891.148383342
76527,2022-04,56013.3579,493.876455084459,0.0531,0.021,Single Family Residential,0.047,0,0.069,326320.448703703
76527,2022-04,56013.3579,493.876455084459,0.0531,0.021,Townhouse,0.047,0,0.069,286894.961081815
76530,2022-04,67557.5422,493.876455084459,-0.0068,0.003,All Residential,0.039,0,0.023,352581.250158732
76530,2022-04,67557.5422,493.876455084459,-0.0068,0.003,Condo/Co-op,0.039,0,0.023,310040.229212984
76530,2022-04,67557.5422,493.876455084459,-0.0068,0.003,Multi-Family (2-4 Unit),0.039,0,0.023,406715.103078791
76530,2022-04,67557.5422,493.876455084459,-0.0068,0.003,Single Family Residential,0.039,0,0.023,362537.367129607
76530,2022-04,67557.5422,493.876455084459,-0.0068,0.003,Townhouse,0.039,0,0.023,353323.859347817
76537,2022-04,93678.4374,493.876455084459,0.019,0.015,All Residential,0.092,0,0.04,461188.909249208
76537,2022-04,93678.4374,493.876455084459,0.019,0.015,Condo/Co-op,0.092,0,0.04,341867.183570332
76537,2022-04,93678.4374,493.876455084459,0.019,0.015,Multi-Family (2-4 Unit),0.092,0,0.04,479321.191123948
76537,2022-04,93678.4374,493.876455084459,0.019,0.015,Single Family Residential,0.092,0,0.04,459131.134517765
76537,2022-04,93678.4374,493.876455084459,0.019,0.015,Townhouse,0.092,0,0.04,383907.425610337
76573,2022-04,-16814.6402,493.876455084459,-0.0743,0,All Residential,0,0,0,299790.158489722
76573,2022-04,-16814.6402,493.876455084459,-0.0743,0,Condo/Co-op,0,0,0,263093.095749806
76573,2022-04,-16814.6402,493.876455084459,-0.0743,0,Multi-Family (2-4 Unit),0,0,0,322438.120960406
76573,2022-04,-16814.6402,493.876455084459,-0.0743,0,Single Family Residential,0,0,0,303774.010431682
76573,2022-04,-16814.6402,493.876455084459,-0.0743,0,Townhouse,0,0,0,304187.689831448
76574,2022-04,59337.2364,493.876455084459,0.0209,0.015,All Residential,0.048,0.016,0.054,388444.292342944
76574,2022-04,59337.2364,493.876455084459,0.0209,0.015,Condo/Co-op,0.048,0.016,0.054,335948.203694008
76574,2022-04,59337.2364,493.876455084459,0.0209,0.015,Multi-Family (2-4 Unit),0.048,0.016,0.054,430023.744119727
76574,2022-04,59337.2364,493.876455084459,0.0209,0.015,Single Family Residential,0.048,0.016,0.054,372310.160485606
76574,2022-04,59337.2364,493.876455084459,0.0209,0.015,Townhouse,0.048,0.016,0.054,352965.798104908
