ZipCode,lat,lon
98001,47.313,-122.272
98002,47.3055,-122.2153
98003,47.3153,-122.3122
98004,47.6254,-122.2037
98005,47.6092,-122.1659
98006,47.5633,-122.157
98007,47.6101,-122.1467
98008,47.6036,-122.1233
98010,47.3223,-122.0203
98011,47.7577,-122.1983
98014,47.6536,-121.929
98019,47.7409,-121.9723
98022,47.2142,-121.9949
98023,47.3083,-122.3616
98024,47.5707,-121.8967
98027,47.4738,-122.0224
98028,47.7559,-122.2449
98029,47.5413,-122.0197
98030,47.3695,-122.1913
98031,47.4058,-122.1927
98032,47.3872,-122.2668
98033,47.6783,-122.1927
98034,47.7181,-122.2009
98038,47.3771,-122.0317
98039,47.6284,-122.2366
98040,47.5747,-122.2284
98042,47.3639,-122.1158
98045,47.4857,-121.723
98047,47.2643,-122.2476
98050,47.5262,-121.9369
98051,47.3509,-121.929
98052,47.6876,-122.1144
98053,47.6663,-122.0457
98055,47.4476,-122.2009
98056,47.5089,-122.1831
98057,47.4792,-122.2119
98058,47.4467,-122.146
98059,47.4903,-122.1378
98065,47.5283,-121.8494
98070,47.4327,-122.4591
98072,47.7486,-122.1405
98074,47.6154,-122.0361
98075,47.583,-122.0416
98077,47.7615,-122.0718
98092,47.2938,-122.1707
98102,47.6341,-122.3221
98103,47.6737,-122.3438
98104,47.6015,-122.3286
98105,47.6645,-122.2998
98106,47.5357,-122.3561
98107,47.6691,-122.3767
98108,47.5478,-122.3108
98109,47.633,-122.3492
98112,47.6293,-122.2984
98115,47.6848,-122.2984
98116,47.5737,-122.3946
98117,47.6876,-122.3781
98118,47.5422,-122.2765
98119,47.6395,-122.3671
98122,47.6108,-122.3039
98125,47.7162,-122.3026
98126,47.5459,-122.3753
98133,47.7181,-122.3451
98134,47.5793,-122.3328
98136,47.5395,-122.3891
98144,47.5858,-122.3026
98146,47.5024,-122.3575
98148,47.4411,-122.3286
98155,47.7449,-122.3039
98166,47.4569,-122.3492
98168,47.4894,-122.3053
98177,47.7144,-122.3671
98178,47.4986,-122.2476
98188,47.4495,-122.2765
98198,47.3928,-122.3135
98199,47.6487,-122.3973
98224,47.7386,-121.4232
98288,47.7125,-121.333
