Postal,Score
73960,99.55
75001,100
75002,100
75006,100
75007,100
75009,100
75010,100
75013,100
75019,100
75020,99.55
75021,99.52
75022,100
75023,100
75024,100
75025,100
75028,100
75032,100
75033,99.51
75034,100
75035,100
75036,99.51
75038,98.82
75039,100
75040,100
75041,100
75042,100
75043,100
75044,100
75048,100
75050,100
75051,100
75052,100
75054,100
75056,100
75057,100
75058,99.42
75060,100
75061,100
75062,100
75063,100
75065,100
75067,100
75068,100
75069,100
75070,100
75071,99.51
75072,99.51
75074,100
75075,100
75076,100
75077,100
75078,100
75080,100
75081,100
75082,100
75087,100
75088,100
75089,100
75090,99.49
75092,99.76
75093,100
75094,100
75098,100
75103,100
75104,100
75109,100
75110,100
75114,100
75115,100
75116,100
75117,98.84
75119,100
75124,100
75125,100
75126,100
75127,84
75134,99.02
75135,98.82
75137,100
75140,100
75142,100
75143,100
75144,100
75146,100
75147,100
75148,100
75149,100
75150,100
75152,100
75154,100
75155,100
75156,100
75158,100
75159,100
75160,100
75163,98.84
75165,100
75166,100
75167,99.775
75169,100
75172,98.85
75173,99.88
75180,100
75181,100
75182,100
75189,99.775
75201,100
75202,99.42
75203,100
75204,100
75205,100
75206,100
75208,100
75209,100
75210,100
75211,100
75212,100
75214,100
75215,100
75216,100
75217,100
75218,100
75219,100
75220,100
75223,99.775
75224,100
75225,100
75226,100
75227,100
75228,100
75229,100
75230,100
75231,100
75232,100
75233,100
75234,100
75235,100
75236,100
75237,100
75238,100
75240,100
75241,100
75243,100
75244,100
75246,100
75248,100
75249,100
75252,100
75253,99.55
75254,98.86
75287,100
75401,100
75402,100
75407,100
75409,100
75410,100
75414,100
75416,100
75417,100
75418,98.85
75422,98.84
75423,100
75424,100
75426,92
75428,100
75431,99.88
75432,100
75433,100
75435,98.82
75436,100
75438,100
75439,98.84
75440,100
75442,99.875
75446,100
75447,100
75449,100
75452,100
75453,100
75454,100
75455,100
75457,100
75459,99.41
75460,98.84
75462,100
75468,98.04
75469,100
75473,100
75474,100
75478,100
75479,98.84
75481,100
75482,100
75489,95.38
75490,97.71
75491,99.435
75494,100
75495,99.42
75496,99.54
75497,98.84
75501,100
75503,100
75551,100
75554,100
75555,97.07
75556,100
75559,98.435
75561,99.775
75563,100
75567,98.765
75569,100
75570,99.94
75571,100
75572,100
75574,100
75601,100
75602,100
75603,100
75604,100
75605,100
75630,100
75631,92.31
75633,100
75638,100
75640,100
75643,100
75644,100
75645,99.51
75647,100
75650,100
75651,100
75652,100
75654,100
75656,100
75657,98.84
75661,100
75662,100
75667,100
75670,100
75672,98.84
75681,100
75683,99.55
75684,98.84
75686,100
75691,100
75692,99.775
75693,100
75701,99.55
75702,100
75703,100
75704,100
75705,100
75707,100
75750,100
75751,100
75754,98.8
75755,100
75756,100
75757,98.84
75758,99.42
75760,98.87
75763,99.55
75765,100
75766,98.85
75770,100
75771,99.225
75773,91.595
75778,98.87
75783,100
75785,100
75789,100
75790,100
75791,99.435
75792,100
75799,100
75801,100
75803,99.445
75831,100
75833,99.195
75835,100
75839,100
75840,100
75844,98.84
75845,100
75846,100
75847,98.85
75849,100
75851,98.34
75852,100
75855,100
75860,99.54
75861,100
75862,98.84
75884,100
75886,100
75901,100
75904,100
75925,100
75926,100
75929,91.76
75931,100
75932,100
75935,99.5
75936,99
75937,100
75938,98.84
75939,98.84
75941,100
75943,100
75944,100
75946,100
75948,100
75949,99.55
75951,100
75954,100
75956,100
75961,100
75964,100
75965,98.85
75966,100
75968,98.92
75969,100
75972,100
75973,99.75
75974,100
75975,100
75976,100
75978,100
75979,100
75980,100
75990,100
76001,100
76002,100
76005,100
76006,100
76008,100
76009,98.84
76010,100
76011,100
76012,100
76013,100
76014,100
76015,100
76016,100
76017,100
76018,100
76020,100
76021,100
76022,100
76023,100
76028,100
76031,98.84
76033,98.84
76034,100
76036,100
76039,100
76040,100
76043,100
76044,99.42
76048,100
76049,98.08
76050,100
76051,100
76052,99.55
76053,100
76054,99.51
76055,98.84
76058,99.42
76059,84
76060,100
76063,100
76064,98.87
76065,100
76066,100
76067,100
76070,100
76071,97.07
76073,100
76078,100
76082,86.15
76084,100
76086,98.87
76087,100
76088,100
76092,100
76093,100
76102,99.99
76103,100
76104,100
76105,100
76106,100
76107,98.87
76108,100
76109,100
76110,100
76111,100
76112,100
76114,100
76115,100
76116,100
76117,100
76118,99.435
76119,100
76120,100
76123,100
76126,100
76131,100
76132,100
76133,100
76134,100
76135,100
76137,100
76140,100
76148,100
76164,100
76177,100
76179,100
76180,100
76182,98.73
76201,98.84
76203,99.78
76205,100
76207,100
76208,99.765
76209,98.82
76210,100
76225,100
76226,100
76227,100
76228,100
76230,100
76233,98.6
76234,100
76238,100
76239,98.34
76240,100
76244,100
76247,100
76248,100
76249,98.84
76250,100
76251,100
76252,100
76255,98.82
76258,100
76259,98.84
76262,100
76264,98.84
76265,100
76266,100
76271,98.84
76272,100
76273,99.49
76301,98.44
76302,100
76306,100
76308,100
76309,100
76310,100
76311,100
76351,100
76354,100
76360,98.275
76364,100
76365,100
76366,99.55
76367,100
76371,99.42
76372,100
76374,100
76377,100
76380,100
76384,99.5
76389,98.04
76401,98.85
76424,100
76426,100
76427,100
76430,100
76431,100
76432,100
76433,100
76437,99.41
76442,99.49
76443,98.84
76444,98.84
76446,98.6
76448,98.84
76449,98.84
76450,100
76453,98.82
76454,98.84
76455,100
76457,99.17
76458,98.84
76462,98.84
76464,100
76470,99.88
76471,99.42
76472,100
76474,100
76475,98.84
76476,100
76483,100
76484,100
76486,98.84
76487,100
76491,98.84
76501,100
76502,100
76504,100
76508,100
76511,98.84
76513,99.74
76518,98.84
76520,100
76522,100
76524,100
76525,100
76527,100
76528,100
76530,100
76531,98.84
76534,100
76537,100
76538,100
76541,100
76542,100
76543,100
76544,100
76548,100
76549,100
76550,100
76554,98.16
76556,100
76557,99.75
76559,100
76561,100
76567,100
76569,100
76571,100
76574,100
76577,100
76578,100
76579,99.42
76621,100
76622,100
76624,100
76626,99.775
76627,100
76629,100
76631,100
76632,100
76633,100
76634,100
76635,99.41
76636,100
76637,100
76638,98.72
76639,100
76640,91.02
76641,98.84
76642,99.425
76643,99.55
76645,100
76648,100
76649,99.55
76651,98.85
76652,100
76655,100
76656,100
76657,100
76660,98.84
76661,100
76664,91.42
76665,87.32
76667,98.84
76670,100
76671,100
76673,100
76676,98.82
76682,99.775
76689,96.38
76690,100
76691,100
76692,99.42
76693,100
76701,96.365
76704,100
76705,100
76706,100
76707,100
76708,100
76710,100
76711,100
76712,100
76801,99.41
76802,98.82
76821,100
76823,100
76825,100
76827,100
76832,100
76834,98.84
76837,98.84
76844,100
76849,100
76852,100
76853,98.74
76856,100
76857,99.88
76859,100
76861,98.82
76864,98.325
76866,98.06
76871,100
76872,98.82
76875,100
76877,98.84
76878,100
76884,100
76890,100
76901,99.775
76903,100
76904,100
76905,95.38
76932,100
76933,100
76935,94.695
76936,99.55
76941,100
76943,100
76945,98.38
76950,100
76951,100
76957,99.54
76958,98.9
77002,100
77003,99.42
77004,100
77005,100
77006,100
77007,100
77008,100
77009,100
77011,100
77012,100
77013,100
77014,100
77015,98.82
77016,100
77017,100
77018,100
77019,99.41
77020,100
77021,100
77022,100
77023,100
77024,98.82
77025,100
77026,100
77028,100
77029,99
77030,99.41
77031,100
77032,100
77033,98.85
77034,100
77035,100
77036,100
77037,98.83
77038,100
77039,100
77040,100
77041,100
77042,100
77043,98.82
77044,100
77045,100
77047,100
77048,100
77049,100
77050,100
77051,100
77053,100
77054,98.82
77055,98.82
77056,98.84
77057,100
77058,100
77059,100
77060,100
77061,99.41
77062,100
77063,100
77064,100
77065,100
77066,98.82
77067,100
77068,100
77069,100
77070,100
77071,100
77072,98.82
77073,100
77074,100
77075,100
77076,98.84
77077,100
77078,100
77079,98.82
77080,100
77081,98.85
77082,99.99
77083,100
77084,100
77085,100
77086,100
77087,99.425
77088,100
77089,100
77090,100
77091,100
77092,100
77093,100
77094,100
77095,100
77096,100
77098,100
77099,98.84
77301,100
77302,100
77304,100
77306,100
77316,100
77318,100
77320,100
77327,100
77331,100
77335,98.04
77336,100
77338,100
77339,100
77340,100
77345,100
77346,100
77351,99.745
77354,100
77355,100
77356,100
77357,100
77358,100
77360,99.19
77365,100
77371,99.775
77372,100
77373,100
77375,100
77377,100
77378,100
77379,99.95
77380,100
77381,100
77382,100
77384,100
77385,100
77386,100
77388,100
77389,100
77396,99.775
77401,98.84
77406,100
77407,100
77412,84
77414,100
77417,100
77418,98.84
77419,100
77420,98.04
77422,99.41
77423,100
77429,100
