,period_begin,zip_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,new_listings,inventory,median_dom,avg_sale_to_list,sold_above_list,Year
0,2012-01-01,78610,All Residential,-1,172810.0,179995.0,87.31389725,92.49229188,68,115.0,129.0,91.0,0.962593735,0.102941176,2012
553,2012-04-01,78610,All Residential,-1,177000.0,199613.0,88.08929949,94.26105112,110,174.0,163.0,61.0,0.975637555,0.109090909,2012
1123,2012-07-01,78610,All Residential,-1,184560.0,189000.0,91.56976744,96.77334367,113,159.0,154.0,63.0,0.972008599,0.07079646,2012
1692,2012-10-01,78610,All Residential,-1,176000.0,195000.0,91.58061217,94.8630137,118,93.0,117.0,54.0,0.975656663,0.177966102,2012
2243,2013-01-01,78610,All Residential,-1,175568.0,199940.0,90.91108328,99.95334411,111,170.0,121.0,59.5,0.982267578,0.153153153,2013
2801,2013-04-01,78610,All Residential,-1,198700.0,206240.0,99.6280247,105.6163732,152,191.0,125.0,38.0,0.983465843,0.171052632,2013
3364,2013-07-01,78610,All Residential,-1,193000.0,199990.0,100.456621,101.6314774,181,178.0,122.0,28.0,0.978923296,0.165745856,2013
3924,2013-10-01,78610,All Residential,-1,193220.0,230000.0,99.20490283,102.685624,116,129.0,122.0,46.0,0.978083837,0.163793103,2013
4475,2014-01-01,78610,All Residential,-1,199500.0,230029.0,102.2727273,111.9616307,123,210.0,157.0,37.0,0.977215022,0.195121951,2014
5056,2014-04-01,78610,All Residential,-1,223000.0,226500.0,107.193639,109.4236043,214,248.0,165.0,37.0,0.986978228,0.219626168,2014
5645,2014-07-01,78610,All Residential,-1,222500.0,241000.0,110.9646079,112.9122665,175,191.0,163.0,28.0,0.979603853,0.148571429,2014
6223,2014-10-01,78610,All Residential,-1,231210.0,239500.0,109.2043682,117.6659327,187,160.0,146.0,56.0,0.974427927,0.144385027,2014
6776,2015-01-01,78610,All Residential,-1,222250.0,245864.0,111.7101742,114.5446849,154,158.0,121.0,60.0,0.973663146,0.194805195,2015
7340,2015-04-01,78610,All Residential,-1,245700.0,248000.0,117.1486961,116.5322581,204,251.0,140.0,38.0,0.984750355,0.240196078,2015
7907,2015-07-01,78610,All Residential,-1,243500.0,244900.0,116.2280702,123.4691531,217,249.0,163.0,28.0,0.984231339,0.230414747,2015
8469,2015-10-01,78610,All Residential,-1,229000.0,250000.0,117.5298805,120.8872458,176,135.0,124.0,39.0,0.975354631,0.119318182,2015
9019,2016-01-01,78610,All Residential,-1,242000.0,259900.0,118.5693288,120.4208531,157,211.0,140.0,52.0,0.976880451,0.146496815,2016
9582,2016-04-01,78610,All Residential,-1,251000.0,250000.0,119.2603024,125.4275941,232,253.0,154.0,32.5,0.983891471,0.185344828,2016
10150,2016-07-01,78610,All Residential,-1,245000.0,255990.0,123.5059761,126.0956175,219,247.0,170.0,27.0,0.985472281,0.191780822,2016
10710,2016-10-01,78610,All Residential,-1,244750.0,257000.0,123.637659,127.3055333,190,167.0,152.0,37.0,0.983158847,0.136842105,2016
11257,2017-01-01,78610,All Residential,-1,252495.0,259387.5,126.5320003,127.2061469,142,216.0,158.0,58.0,0.986176529,0.133802817,2017
11823,2017-04-01,78610,All Residential,-1,249990.0,260760.0,128.085701,128.5766544,241,335.0,233.0,33.0,0.985299412,0.20746888,2017
12402,2017-07-01,78610,All Residential,-1,260000.0,255000.0,128.9836328,129.4818653,226,239.0,201.0,42.0,0.986740841,0.168141593,2017
12976,2017-10-01,78610,All Residential,-1,250000.0,256900.0,126.2247839,126.4350041,211,152.0,148.0,63.0,0.97722963,0.113744076,2017
13529,2018-01-01,78610,All Residential,-1,255000.0,274500.0,127.5717554,132.2521866,166,259.0,168.0,73.0,0.981274953,0.108433735,2018
14102,2018-04-01,78610,All Residential,-1,259225.0,265157.5,130.5575707,129.0006284,246,320.0,195.0,29.0,0.987515405,0.166666667,2018
14684,2018-07-01,78610,All Residential,-1,260000.0,276450.0,132.2739298,134.803207,266,306.0,216.0,34.0,0.987421419,0.184210526,2018
15246,2018-10-01,78610,All Residential,-1,263847.0,274023.0,132.0072333,133.345481,221,162.0,159.0,47.5,0.984936433,0.104072398,2018
15821,2019-01-01,78610,All Residential,-1,279990.0,268950.0,134.1331575,134.6521298,191,268.0,156.0,48.0,0.986532282,0.204188482,2019
16418,2019-04-01,78610,All Residential,-1,268000.0,275000.0,135.3013477,138.2339344,280,333.0,201.0,27.0,0.988865705,0.175,2019
17027,2019-07-01,78610,All Residential,-1,269000.0,262565.0,134.803207,137.8446115,259,269.0,183.0,35.0,0.990546677,0.196911197,2019
17615,2019-10-01,78610,All Residential,-1,257292.5,271475.0,138.2154741,143.8939378,210,142.0,119.0,40.0,0.988877418,0.19047619,2019
18194,2020-01-01,78610,All Residential,-1,268600.0,282000.0,138.5542169,142.1335896,191,245.0,129.0,46.0,0.992145508,0.235602094,2020
18782,2020-04-01,78610,All Residential,-1,278105.0,298881.5,143.9794314,146.3265241,256,274.0,108.0,24.0,0.991192348,0.24609375,2020
19383,2020-07-01,78610,All Residential,-1,307500.0,292000.0,147.1844075,149.913463,276,240.0,97.0,23.5,0.99562499,0.304347826,2020
19984,2020-10-01,78610,All Residential,-1,290000.0,299500.0,148.5841034,153.2415805,256,224.0,48.0,33.0,1.005952134,0.43359375,2020
20582,2021-01-01,78610,All Residential,-1,333141.0,325000.0,171.5197447,168.8741722,213,217.0,46.0,20.5,1.056500035,0.647887324,2021
21189,2021-04-01,78610,All Residential,-1,395752.0,375990.0,199.0106545,187.2791519,259,287.0,74.0,17.0,1.096067369,0.803088803,2021
21820,2021-07-01,78610,All Residential,-1,420000.0,410000.0,210.4685212,213.5201153,251,324.0,118.0,29.0,1.060019414,0.725099602,2021
22457,2021-10-01,78610,All Residential,-1,402500.0,430000.0,218.1848946,216.2212247,214,230.0,94.0,28.0,1.025800139,0.485981308,2021
12403,2017-07-01,78610,Condo/Co-op,3,197500.0,255000.0,106.1827957,129.4818653,1,239.0,201.0,42.0,0.745283019,0.0,2017
19384,2020-07-01,78610,Condo/Co-op,3,232770.0,249990.0,112.9896422,120.9934087,11,11.0,11.0,118.0,0.98863617,0.090909091,2020
19985,2020-10-01,78610,Condo/Co-op,3,238947.5,253490.0,117.7667104,127.8765218,18,12.0,3.0,98.5,0.99958375,0.277777778,2020
20583,2021-01-01,78610,Condo/Co-op,3,256220.0,325000.0,127.0408411,168.8741722,16,217.0,46.0,28.0,1.003245534,0.625,2021
1693,2012-10-01,78610,Multi-Family (2-4 Unit),4,186000.0,228000.0,99.35897436,71.00313273,1,2.0,1.0,54.0,1.0,0.0,2012
3925,2013-10-01,78610,Multi-Family (2-4 Unit),4,260000.0,230000.0,41.06776181,102.685624,1,129.0,122.0,327.0,0.962962963,0.0,2013
14103,2018-04-01,78610,Multi-Family (2-4 Unit),4,361945.0,364900.0,131.9041545,132.9810496,14,12.0,2.0,16.0,1.000512607,0.142857143,2018
14685,2018-07-01,78610,Multi-Family (2-4 Unit),4,364900.0,369900.0,132.9810496,134.803207,21,49.0,11.0,23.0,1.001304989,0.095238095,2018
15247,2018-10-01,78610,Multi-Family (2-4 Unit),4,369900.0,365900.0,134.803207,134.6392128,26,12.0,13.0,13.5,1.001256287,0.153846154,2018
15822,2019-01-01,78610,Multi-Family (2-4 Unit),4,372900.0,373900.0,135.8965015,146.0546875,29,19.0,11.0,40.0,1.002714707,0.379310345,2019
16419,2019-04-01,78610,Multi-Family (2-4 Unit),4,373900.0,375900.0,141.2352519,156.1046512,24,10.0,1.0,54.0,1.000313108,0.125,2019
17028,2019-07-01,78610,Multi-Family (2-4 Unit),4,375900.0,262565.0,146.8359375,137.8446115,16,269.0,183.0,7.5,1.003384368,0.375,2019
18783,2020-04-01,78610,Multi-Family (2-4 Unit),4,392400.0,400000.0,142.7947598,145.5604076,1,2.0,108.0,4.0,0.981,0.0,2020
19385,2020-07-01,78610,Multi-Family (2-4 Unit),4,419000.0,249990.0,152.4745269,120.9934087,1,11.0,11.0,6.0,1.0475,1.0,2020
20584,2021-01-01,78610,Multi-Family (2-4 Unit),4,458000.0,440000.0,166.6666667,160.1164483,1,1.0,46.0,26.0,1.040909091,1.0,2021
21190,2021-04-01,78610,Multi-Family (2-4 Unit),4,545500.0,495000.0,198.6538845,180.1310044,4,5.0,74.0,5.0,1.084857634,1.0,2021
