,period_begin,zip_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,new_listings,inventory,median_dom,avg_sale_to_list,sold_above_list,Year,school_rating,30FixedMortgage_3MoMedian,DGL,QQQ,SPY,Inflation_Rate,median_income,Unemployment,mobility_abroad,mobility_withincounty,mobility_withinstate,mobility_withUS
0,2012-01-01,78610,All Residential,-1,172810.0,179995.0,87.31389725,92.49229188,68,115.0,129.0,91.0,0.962593735,0.102941176,2012,100.0,3.92,58.67,63.2649995,135.360001,2.9,83536.0,7.2%,0.1%,4.5%,5.9%,1.4%
1,2012-04-01,78610,All Residential,-1,177000.0,199613.0,88.08929949,94.26105112,110,174.0,163.0,61.0,0.975637555,0.109090909,2012,100.0,3.8,55.970001,64.160004,135.479996,1.7,83536.0,7.2%,0.1%,4.5%,5.9%,1.4%
2,2012-07-01,78610,All Residential,-1,184560.0,189000.0,91.56976744,96.77334367,113,159.0,154.0,63.0,0.972008599,0.07079646,2012,100.0,3.55,55.82,67.220001,140.78999299999995,1.7,83536.0,7.2%,0.1%,4.5%,5.9%,1.4%
3,2012-10-01,78610,All Residential,-1,176000.0,195000.0,91.58061217,94.8630137,118,93.0,117.0,54.0,0.975656663,0.177966102,2012,100.0,3.35,59.0100005,65.36999850000001,142.1349945,1.8,83536.0,7.2%,0.1%,4.5%,5.9%,1.4%
4,2013-01-01,78610,All Residential,-1,175568.0,199940.0,90.91108328,99.95334411,111,170.0,121.0,59.5,0.982267578,0.15315315300000001,2013,100.0,3.53,56.030001,67.34,151.4749985,1.6,79049.0,7.9%,0.2%,3.4%,8.4%,1.2%
5,2013-04-01,78610,All Residential,-1,198700.0,206240.0,99.6280247,105.61637320000001,152,191.0,125.0,38.0,0.983465843,0.17105263199999998,2013,100.0,3.54,47.49,71.9500005,161.31999950000002,1.4,79049.0,7.9%,0.2%,3.4%,8.4%,1.2%
6,2013-07-01,78610,All Residential,-1,193000.0,199990.0,100.456621,101.63147740000001,181,178.0,122.0,28.0,0.9789232959999999,0.165745856,2013,100.0,4.46,44.77,76.0600015,168.589996,1.5,79049.0,7.9%,0.2%,3.4%,8.4%,1.2%
7,2013-10-01,78610,All Residential,-1,193220.0,230000.0,99.20490283,102.685624,116,129.0,122.0,46.0,0.978083837,0.163793103,2013,100.0,4.26,42.8450015,83.0399975,178.120003,1.2,79049.0,7.9%,0.2%,3.4%,8.4%,1.2%
8,2014-01-01,78610,All Residential,-1,199500.0,230029.0,102.2727273,111.9616307,123,210.0,157.0,37.0,0.977215022,0.19512195100000002,2014,100.0,4.34,43.330002,88.510002,184.179993,1.5,74550.0,7.3%,0.1%,4.5%,9.7%,1.4%
9,2014-04-01,78610,All Residential,-1,223000.0,226500.0,107.19363899999999,109.42360430000001,214,248.0,165.0,37.0,0.986978228,0.219626168,2014,100.0,4.19,43.299999,88.32,188.880005,2.1,74550.0,7.3%,0.1%,4.5%,9.7%,1.4%
10,2014-07-01,78610,All Residential,-1,222500.0,241000.0,110.96460790000002,112.9122665,175,191.0,163.0,28.0,0.979603853,0.148571429,2014,100.0,4.13,43.08,97.3150025,197.8499985,1.7,74550.0,7.3%,0.1%,4.5%,9.7%,1.4%
11,2014-10-01,78610,All Residential,-1,231210.0,239500.0,109.2043682,117.6659327,187,160.0,146.0,56.0,0.974427927,0.144385027,2014,100.0,4.0,39.7000005,102.11999899999999,203.25,1.3,74550.0,7.3%,0.1%,4.5%,9.7%,1.4%
12,2015-01-01,78610,All Residential,-1,222250.0,245864.0,111.71017420000001,114.54468490000002,154,158.0,121.0,60.0,0.9736631459999999,0.194805195,2015,100.0,3.71,39.939999,105.339996,206.100006,-0.1,74250.0,6.3%,0.2%,4.4%,9.8%,1.6%
13,2015-04-01,78610,All Residential,-1,245700.0,248000.0,117.1486961,116.5322581,204,251.0,140.0,38.0,0.984750355,0.240196078,2015,100.0,3.84,39.279999,109.059998,210.5,0.0,74250.0,6.3%,0.2%,4.4%,9.8%,1.6%
14,2015-07-01,78610,All Residential,-1,243500.0,244900.0,116.2280702,123.4691531,217,249.0,163.0,28.0,0.984231339,0.230414747,2015,100.0,3.91,36.875,107.67499950000001,206.754997,0.2,74250.0,6.3%,0.2%,4.4%,9.8%,1.6%
15,2015-10-01,78610,All Residential,-1,229000.0,250000.0,117.52988049999999,120.88724579999999,176,135.0,124.0,39.0,0.975354631,0.119318182,2015,100.0,3.94,35.4750005,112.695,205.774994,0.5,74250.0,6.3%,0.2%,4.4%,9.8%,1.6%
16,2016-01-01,78610,All Residential,-1,242000.0,259900.0,118.5693288,120.4208531,157,211.0,140.0,52.0,0.976880451,0.146496815,2016,100.0,3.69,39.799999,104.07,193.660004,1.0,75453.0,6.0%,0.2%,3.2%,10.5%,1.8%
17,2016-04-01,78610,All Residential,-1,251000.0,250000.0,119.2603024,125.4275941,232,253.0,154.0,32.5,0.983891471,0.18534482800000002,2016,100.0,3.6,41.075001,108.24499899999999,207.86000049999998,1.0,75453.0,6.0%,0.2%,3.2%,10.5%,1.8%
18,2016-07-01,78610,All Residential,-1,245000.0,255990.0,123.5059761,126.0956175,219,247.0,170.0,27.0,0.985472281,0.191780822,2016,100.0,3.44,43.360001,116.63500249999998,216.6449965,1.1,75453.0,6.0%,0.2%,3.2%,10.5%,1.8%
19,2016-10-01,78610,All Residential,-1,244750.0,257000.0,123.63765900000001,127.3055333,190,167.0,152.0,37.0,0.983158847,0.136842105,2016,100.0,3.77,39.439999,118.360001,217.869995,1.7,75453.0,6.0%,0.2%,3.2%,10.5%,1.8%
20,2017-01-01,78610,All Residential,-1,252495.0,259387.5,126.5320003,127.20614690000001,142,216.0,158.0,58.0,0.9861765290000001,0.133802817,2017,100.0,4.17,39.3299995,129.26999650000002,233.71499649999998,2.5,76623.0,4.6%,0.2%,3.5%,12.2%,1.7%
21,2017-04-01,78610,All Residential,-1,249990.0,260760.0,128.085701,128.5766544,241,335.0,233.0,33.0,0.985299412,0.20746888,2017,100.0,4.01,40.240002,138.149994,239.699997,1.9,76623.0,4.6%,0.2%,3.5%,12.2%,1.7%
