Year_Month,30-Fixed,Predicted
2012-01,3.92,0
2012-02,3.89,0
2012-03,3.95,0
2012-04,3.91,0
2012-05,3.8,0
2012-06,3.68,0
2012-07,3.55,0
2012-08,3.6,0
2012-09,3.5,0
2012-10,3.38,0
2012-11,3.35,0
2012-12,3.35,0
2013-01,3.41,0
2013-02,3.53,0
2013-03,3.57,0
2013-04,3.45,0
2013-05,3.54,0
2013-06,4.07,0
2013-07,4.37,0
2013-08,4.46,0
2013-09,4.49,0
2013-10,4.19,0
2013-11,4.26,0
2013-12,4.46,0
2014-01,4.43,0
2014-02,4.3,0
2014-03,4.34,0
2014-04,4.34,0
2014-05,4.19,0
2014-06,4.16,0
2014-07,4.13,0
2014-08,4.12,0
2014-09,4.16,0
2014-10,4.04,0
2014-11,4,0
2014-12,3.86,0
2015-01,3.67,0
2015-02,3.71,0
2015-03,3.77,0
2015-04,3.67,0
2015-05,3.84,0
2015-06,3.98,0
2015-07,4.05,0
2015-08,3.91,0
2015-09,3.89,0
2015-10,3.8,0
2015-11,3.94,0
2015-12,3.96,0
2016-01,3.87,0
2016-02,3.66,0
2016-03,3.69,0
2016-04,3.61,0
2016-05,3.6,0
2016-06,3.57,0
2016-07,3.44,0
2016-08,3.44,0
2016-09,3.46,0
2016-10,3.47,0
2016-11,3.77,0
2016-12,4.2,0
2017-01,4.15,0
2017-02,4.17,0
2017-03,4.2,0
2017-04,4.05,0
2017-05,4.01,0
2017-06,3.9,0
2017-07,3.97,0
2017-08,3.88,0
2017-09,3.81,0
2017-10,3.9,0
2017-11,3.92,0
2017-12,3.95,0
2018-01,4.03,0
2018-02,4.33,0
2018-03,4.44,0
2018-04,4.47,0
2018-05,4.59,0
2018-06,4.57,0
2018-07,4.53,0
2018-08,4.55,0
2018-09,4.63,0
2018-10,4.83,0
2018-11,4.87,0
2018-12,4.64,0
2019-01,4.46,0
2019-02,4.37,0
2019-03,4.27,0
2019-04,4.14,0
2019-05,4.07,0
2019-06,3.8,0
2019-07,3.77,0
2019-08,3.62,0
2019-09,3.61,0
2019-10,3.69,0
2019-11,3.7,0
2019-12,3.72,0
2020-01,3.62,0
2020-02,3.47,0
2020-03,3.45,0
2020-04,3.31,0
2020-05,3.23,0
2020-06,3.16,0
2020-07,3.02,0
2020-08,2.94,0
2020-09,2.89,0
2020-10,2.83,0
2020-11,2.77,0
2020-12,2.68,0
2021-01,2.74,0
2021-02,2.81,0
2021-03,3.08,0
2021-04,3.06,0
2021-05,2.96,0
2021-06,2.98,0
2021-07,2.87,0
2021-08,2.84,0
2021-09,2.9,0
2021-10,3.07,0
2021-11,3.07,0
2021-12,3.1,0
2022-01,3.45,0
2022-02,3.76,0
2022-03,4.67,0
2022-04,4.67,1
2022-05,4.93,1
2022-06,5.23,1
2022-07,5.54,1
2022-08,5.87,1
2022-09,6.1,1
2022-10,6.35,1
2022-11,6.20,1
2022-12,6.57,1
2023-01,6.57,1
2023-02,6.76,1
2023-03,6.94,1
