Date,Inflation_Rate
1914-01-01,2.00
1915-01-01,1.00
1916-01-01,3.00
1917-01-01,12.50
1918-01-01,19.70
1919-01-01,17.90
1920-01-01,17.00
1921-01-01,-1.60
1922-01-01,-11.10
1923-01-01,-0.60
1924-01-01,3.00
1925-01-01,0.00
1926-01-01,3.50
1927-01-01,-2.20
1928-01-01,-1.10
1929-01-01,-1.20
1930-01-01,0.00
1931-01-01,-7.00
1932-01-01,-10.10
1933-01-01,-9.80
1934-01-01,2.30
1935-01-01,3.00
1936-01-01,1.50
1937-01-01,2.20
1938-01-01,0.70
1939-01-01,-1.40
1940-01-01,-0.70
1941-01-01,1.40
1942-01-01,11.30
1943-01-01,7.60
1944-01-01,3.00
1945-01-01,2.30
1946-01-01,2.20
1947-01-01,18.10
1948-01-01,10.20
1949-01-01,1.30
1950-01-01,-2.10
1951-01-01,8.10
1952-01-01,4.30
1953-01-01,0.40
1954-01-01,1.10
1955-01-01,-0.70
1956-01-01,0.40
1957-01-01,3.00
1958-01-01,3.60
1959-01-01,1.40
1960-01-01,1.00
1961-01-01,1.70
1962-01-01,0.70
1963-01-01,1.30
1964-01-01,1.60
1965-01-01,1.00
1966-01-01,1.90
1967-01-01,3.50
1968-01-01,3.60
1969-01-01,4.40
1970-01-01,6.20
1971-01-01,5.30
1972-01-01,3.30
1973-01-01,3.60
1974-01-01,9.40
1975-01-01,11.80
1976-01-01,6.70
1977-01-01,5.20
1978-01-01,6.80
1979-01-01,9.30
1980-01-01,13.90
1981-01-01,11.80
1982-01-01,8.40
1983-01-01,3.70
1984-01-01,4.20
1985-01-01,3.50
1986-01-01,3.90
1987-01-01,1.50
1988-01-01,4.00
1989-01-01,4.70
1990-01-01,5.20
1991-01-01,5.70
1992-01-01,2.60
1993-01-01,3.30
1994-01-01,2.50
1995-01-01,2.80
1996-01-01,2.70
1997-01-01,3.00
1998-01-01,1.60
1999-01-01,1.70
2000-01-01,2.70
2001-01-01,3.70
2002-01-01,1.10
2003-01-01,2.60
2004-01-01,1.90
2005-01-01,3.00
2006-01-01,4.00
2007-01-01,2.10
2008-01-01,4.30
2009-01-01,0.00
2010-01-01,2.60
2011-01-01,1.60
2012-01-01,2.90
2013-01-01,1.60
2014-01-01,1.60
2015-01-01,-0.10
2016-01-01,1.40
2017-01-01,2.50
2018-01-01,2.10
2019-01-01,1.60
2020-01-01,2.50
2021-01-01,1.40
2022-01-01,7.50
1914-02-01,1.00
1915-02-01,1.00
1916-02-01,4.00
1917-02-01,15.40
1918-02-01,17.50
1919-02-01,14.90
1920-02-01,20.40
1921-02-01,-5.60
1922-02-01,-8.20
1923-02-01,-0.60
1924-02-01,2.40
1925-02-01,0.00
1926-02-01,4.10
1927-02-01,-2.80
1928-02-01,-1.70
1929-02-01,0.00
1930-02-01,-0.60
1931-02-01,-7.60
1932-02-01,-10.20
1933-02-01,-9.90
1934-02-01,4.70
1935-02-01,3.00
1936-02-01,0.70
1937-02-01,2.20
1938-02-01,0.00
1939-02-01,-1.40
1940-02-01,0.70
1941-02-01,0.70
1942-02-01,12.10
1943-02-01,7.00
1944-02-01,3.00
1945-02-01,2.30
1946-02-01,1.70
1947-02-01,18.80
1948-02-01,9.30
1949-02-01,1.30
1950-02-01,-1.30
1951-02-01,9.40
1952-02-01,2.30
1953-02-01,0.80
1954-02-01,1.50
1955-02-01,-0.70
1956-02-01,0.40
1957-02-01,3.40
1958-02-01,3.20
1959-02-01,1.00
1960-02-01,1.70
1961-02-01,1.40
1962-02-01,1.00
1963-02-01,1.00
1964-02-01,1.60
1965-02-01,1.00
1966-02-01,2.60
1967-02-01,2.80
1968-02-01,4.00
1969-02-01,4.70
1970-02-01,6.10
1971-02-01,5.00
1972-02-01,3.50
1973-02-01,3.90
1974-02-01,10.00
1975-02-01,11.20
1976-02-01,6.30
1977-02-01,5.90
1978-02-01,6.40
1979-02-01,9.90
1980-02-01,14.20
1981-02-01,11.40
1982-02-01,7.60
1983-02-01,3.50
