,zipcode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate
0,76527,2022-04,56013.3579,493.8764550844589,0.0531,0.021,All Residential,0.047,0.0,0.069
1,76527,2022-07,56013.3579,520.4899930411716,0.0531,0.021,All Residential,0.047,0.0,0.069
2,76527,2022-10,56013.3579,543.8412714585633,0.0531,0.021,All Residential,0.047,0.0,0.069
3,76527,2022-04,56013.3579,493.8764550844589,0.0531,0.021,Condo/Co-op,0.047,0.0,0.069
4,76527,2022-07,56013.3579,520.4899930411716,0.0531,0.021,Condo/Co-op,0.047,0.0,0.069
5,76527,2022-10,56013.3579,543.8412714585633,0.0531,0.021,Condo/Co-op,0.047,0.0,0.069
6,76527,2022-04,56013.3579,493.8764550844589,0.0531,0.021,Multi-Family (2-4 Unit),0.047,0.0,0.069
7,76527,2022-07,56013.3579,520.4899930411716,0.0531,0.021,Multi-Family (2-4 Unit),0.047,0.0,0.069
8,76527,2022-10,56013.3579,543.8412714585633,0.0531,0.021,Multi-Family (2-4 Unit),0.047,0.0,0.069
9,76527,2022-04,56013.3579,493.8764550844589,0.0531,0.021,Single Family Residential,0.047,0.0,0.069
10,76527,2022-07,56013.3579,520.4899930411716,0.0531,0.021,Single Family Residential,0.047,0.0,0.069
11,76527,2022-10,56013.3579,543.8412714585633,0.0531,0.021,Single Family Residential,0.047,0.0,0.069
12,76527,2022-04,56013.3579,493.8764550844589,0.0531,0.021,Townhouse,0.047,0.0,0.069
13,76527,2022-07,56013.3579,520.4899930411716,0.0531,0.021,Townhouse,0.047,0.0,0.069
14,76527,2022-10,56013.3579,543.8412714585633,0.0531,0.021,Townhouse,0.047,0.0,0.069
15,76530,2022-04,67557.5422,493.8764550844589,-0.0068,0.003,All Residential,0.039,0.0,0.023
16,76530,2022-07,67557.5422,520.4899930411716,-0.0068,0.003,All Residential,0.039,0.0,0.023
17,76530,2022-10,67557.5422,543.8412714585633,-0.0068,0.003,All Residential,0.039,0.0,0.023
18,76530,2022-04,67557.5422,493.8764550844589,-0.0068,0.003,Condo/Co-op,0.039,0.0,0.023
19,76530,2022-07,67557.5422,520.4899930411716,-0.0068,0.003,Condo/Co-op,0.039,0.0,0.023
20,76530,2022-10,67557.5422,543.8412714585633,-0.0068,0.003,Condo/Co-op,0.039,0.0,0.023
21,76530,2022-04,67557.5422,493.8764550844589,-0.0068,0.003,Multi-Family (2-4 Unit),0.039,0.0,0.023
22,76530,2022-07,67557.5422,520.4899930411716,-0.0068,0.003,Multi-Family (2-4 Unit),0.039,0.0,0.023
23,76530,2022-10,67557.5422,543.8412714585633,-0.0068,0.003,Multi-Family (2-4 Unit),0.039,0.0,0.023
24,76530,2022-04,67557.5422,493.8764550844589,-0.0068,0.003,Single Family Residential,0.039,0.0,0.023
25,76530,2022-07,67557.5422,520.4899930411716,-0.0068,0.003,Single Family Residential,0.039,0.0,0.023
26,76530,2022-10,67557.5422,543.8412714585633,-0.0068,0.003,Single Family Residential,0.039,0.0,0.023
27,76530,2022-04,67557.5422,493.8764550844589,-0.0068,0.003,Townhouse,0.039,0.0,0.023
28,76530,2022-07,67557.5422,520.4899930411716,-0.0068,0.003,Townhouse,0.039,0.0,0.023
29,76530,2022-10,67557.5422,543.8412714585633,-0.0068,0.003,Townhouse,0.039,0.0,0.023
30,76537,2022-04,93678.4374,493.8764550844589,0.019,0.015,All Residential,0.092,0.0,0.04
31,76537,2022-07,93678.4374,520.4899930411716,0.019,0.015,All Residential,0.092,0.0,0.04
32,76537,2022-10,93678.4374,543.8412714585633,0.019,0.015,All Residential,0.092,0.0,0.04
33,76537,2022-04,93678.4374,493.8764550844589,0.019,0.015,Condo/Co-op,0.092,0.0,0.04
34,76537,2022-07,93678.4374,520.4899930411716,0.019,0.015,Condo/Co-op,0.092,0.0,0.04
35,76537,2022-10,93678.4374,543.8412714585633,0.019,0.015,Condo/Co-op,0.092,0.0,0.04
36,76537,2022-04,93678.4374,493.8764550844589,0.019,0.015,Multi-Family (2-4 Unit),0.092,0.0,0.04
37,76537,2022-07,93678.4374,520.4899930411716,0.019,0.015,Multi-Family (2-4 Unit),0.092,0.0,0.04
38,76537,2022-10,93678.4374,543.8412714585633,0.019,0.015,Multi-Family (2-4 Unit),0.092,0.0,0.04
39,76537,2022-04,93678.4374,493.8764550844589,0.019,0.015,Single Family Residential,0.092,0.0,0.04
40,76537,2022-07,93678.4374,520.4899930411716,0.019,0.015,Single Family Residential,0.092,0.0,0.04
41,76537,2022-10,93678.4374,543.8412714585633,0.019,0.015,Single Family Residential,0.092,0.0,0.04
42,76537,2022-04,93678.4374,493.8764550844589,0.019,0.015,Townhouse,0.092,0.0,0.04
43,76537,2022-07,93678.4374,520.4899930411716,0.019,0.015,Townhouse,0.092,0.0,0.04
44,76537,2022-10,93678.4374,543.8412714585633,0.019,0.015,Townhouse,0.092,0.0,0.04
45,76573,2022-04,-16814.6402,493.8764550844589,-0.0743,0.0,All Residential,0.0,0.0,0.0
46,76573,2022-07,-16814.6402,520.4899930411716,-0.0743,0.0,All Residential,0.0,0.0,0.0
47,76573,2022-10,-16814.6402,543.8412714585633,-0.0743,0.0,All Residential,0.0,0.0,0.0
48,76573,2022-04,-16814.6402,493.8764550844589,-0.0743,0.0,Condo/Co-op,0.0,0.0,0.0
49,76573,2022-07,-16814.6402,520.4899930411716,-0.0743,0.0,Condo/Co-op,0.0,0.0,0.0
50,76573,2022-10,-16814.6402,543.8412714585633,-0.0743,0.0,Condo/Co-op,0.0,0.0,0.0
51,76573,2022-04,-16814.6402,493.8764550844589,-0.0743,0.0,Multi-Family (2-4 Unit),0.0,0.0,0.0
52,76573,2022-07,-16814.6402,520.4899930411716,-0.0743,0.0,Multi-Family (2-4 Unit),0.0,0.0,0.0
53,76573,2022-10,-16814.6402,543.8412714585633,-0.0743,0.0,Multi-Family (2-4 Unit),0.0,0.0,0.0
54,76573,2022-04,-16814.6402,493.8764550844589,-0.0743,0.0,Single Family Residential,0.0,0.0,0.0
55,76573,2022-07,-16814.6402,520.4899930411716,-0.0743,0.0,Single Family Residential,0.0,0.0,0.0
56,76573,2022-10,-16814.6402,543.8412714585633,-0.0743,0.0,Single Family Residential,0.0,0.0,0.0
57,76573,2022-04,-16814.6402,493.8764550844589,-0.0743,0.0,Townhouse,0.0,0.0,0.0
58,76573,2022-07,-16814.6402,520.4899930411716,-0.0743,0.0,Townhouse,0.0,0.0,0.0
59,76573,2022-10,-16814.6402,543.8412714585633,-0.0743,0.0,Townhouse,0.0,0.0,0.0
60,76574,2022-04,59337.2364,493.8764550844589,0.0209,0.015,All Residential,0.048,0.016,0.054
61,76574,2022-07,59337.2364,520.4899930411716,0.0209,0.015,All Residential,0.048,0.016,0.054
62,76574,2022-10,59337.2364,543.8412714585633,0.0209,0.015,All Residential,0.048,0.016,0.054
63,76574,2022-04,59337.2364,493.8764550844589,0.0209,0.015,Condo/Co-op,0.048,0.016,0.054
64,76574,2022-07,59337.2364,520.4899930411716,0.0209,0.015,Condo/Co-op,0.048,0.016,0.054
65,76574,2022-10,59337.2364,543.8412714585633,0.0209,0.015,Condo/Co-op,0.048,0.016,0.054
66,76574,2022-04,59337.2364,493.8764550844589,0.0209,0.015,Multi-Family (2-4 Unit),0.048,0.016,0.054
67,76574,2022-07,59337.2364,520.4899930411716,0.0209,0.015,Multi-Family (2-4 Unit),0.048,0.016,0.054
68,76574,2022-10,59337.2364,543.8412714585633,0.0209,0.015,Multi-Family (2-4 Unit),0.048,0.016,0.054
69,76574,2022-04,59337.2364,493.8764550844589,0.0209,0.015,Single Family Residential,0.048,0.016,0.054
70,76574,2022-07,59337.2364,520.4899930411716,0.0209,0.015,Single Family Residential,0.048,0.016,0.054
71,76574,2022-10,59337.2364,543.8412714585633,0.0209,0.015,Single Family Residential,0.048,0.016,0.054
72,76574,2022-04,59337.2364,493.8764550844589,0.0209,0.015,Townhouse,0.048,0.016,0.054
73,76574,2022-07,59337.2364,520.4899930411716,0.0209,0.015,Townhouse,0.048,0.016,0.054
74,76574,2022-10,59337.2364,543.8412714585633,0.0209,0.015,Townhouse,0.048,0.016,0.054
75,76578,2022-04,68811.0926,493.8764550844589,0.0537,0.004,All Residential,0.059,0.0,0.066
76,76578,2022-07,68811.0926,520.4899930411716,0.0537,0.004,All Residential,0.059,0.0,0.066
77,76578,2022-10,68811.0926,543.8412714585633,0.0537,0.004,All Residential,0.059,0.0,0.066
78,76578,2022-04,68811.0926,493.8764550844589,0.0537,0.004,Condo/Co-op,0.059,0.0,0.066
79,76578,2022-07,68811.0926,520.4899930411716,0.0537,0.004,Condo/Co-op,0.059,0.0,0.066
80,76578,2022-10,68811.0926,543.8412714585633,0.0537,0.004,Condo/Co-op,0.059,0.0,0.066
81,76578,2022-04,68811.0926,493.8764550844589,0.0537,0.004,Multi-Family (2-4 Unit),0.059,0.0,0.066
82,76578,2022-07,68811.0926,520.4899930411716,0.0537,0.004,Multi-Family (2-4 Unit),0.059,0.0,0.066
83,76578,2022-10,68811.0926,543.8412714585633,0.0537,0.004,Multi-Family (2-4 Unit),0.059,0.0,0.066
84,76578,2022-04,68811.0926,493.8764550844589,0.0537,0.004,Single Family Residential,0.059,0.0,0.066
85,76578,2022-07,68811.0926,520.4899930411716,0.0537,0.004,Single Family Residential,0.059,0.0,0.066
86,76578,2022-10,68811.0926,543.8412714585633,0.0537,0.004,Single Family Residential,0.059,0.0,0.066
87,76578,2022-04,68811.0926,493.8764550844589,0.0537,0.004,Townhouse,0.059,0.0,0.066
88,76578,2022-07,68811.0926,520.4899930411716,0.0537,0.004,Townhouse,0.059,0.0,0.066
89,76578,2022-10,68811.0926,543.8412714585633,0.0537,0.004,Townhouse,0.059,0.0,0.066
90,78602,2022-04,69623.5091,493.8764550844589,0.0265,0.013,All Residential,0.058,0.004,0.062
91,78602,2022-07,69623.5091,520.4899930411716,0.0265,0.013,All Residential,0.058,0.004,0.062
92,78602,2022-10,69623.5091,543.8412714585633,0.0265,0.013,All Residential,0.058,0.004,0.062
93,78602,2022-04,69623.5091,493.8764550844589,0.0265,0.013,Condo/Co-op,0.058,0.004,0.062
94,78602,2022-07,69623.5091,520.4899930411716,0.0265,0.013,Condo/Co-op,0.058,0.004,0.062
95,78602,2022-10,69623.5091,543.8412714585633,0.0265,0.013,Condo/Co-op,0.058,0.004,0.062
96,78602,2022-04,69623.5091,493.8764550844589,0.0265,0.013,Multi-Family (2-4 Unit),0.058,0.004,0.062
97,78602,2022-07,69623.5091,520.4899930411716,0.0265,0.013,Multi-Family (2-4 Unit),0.058,0.004,0.062
98,78602,2022-10,69623.5091,543.8412714585633,0.0265,0.013,Multi-Family (2-4 Unit),0.058,0.004,0.062
99,78602,2022-04,69623.5091,493.8764550844589,0.0265,0.013,Single Family Residential,0.058,0.004,0.062
100,78602,2022-07,69623.5091,520.4899930411716,0.0265,0.013,Single Family Residential,0.058,0.004,0.062
101,78602,2022-10,69623.5091,543.8412714585633,0.0265,0.013,Single Family Residential,0.058,0.004,0.062
102,78602,2022-04,69623.5091,493.8764550844589,0.0265,0.013,Townhouse,0.058,0.004,0.062
103,78602,2022-07,69623.5091,520.4899930411716,0.0265,0.013,Townhouse,0.058,0.004,0.062
104,78602,2022-10,69623.5091,543.8412714585633,0.0265,0.013,Townhouse,0.058,0.004,0.062
105,78605,2022-04,69400.1215,493.8764550844589,0.0284,0.001,All Residential,0.044,0.004,0.072
106,78605,2022-07,69400.1215,520.4899930411716,0.0284,0.001,All Residential,0.044,0.004,0.072
107,78605,2022-10,69400.1215,543.8412714585633,0.0284,0.001,All Residential,0.044,0.004,0.072
108,78605,2022-04,69400.1215,493.8764550844589,0.0284,0.001,Condo/Co-op,0.044,0.004,0.072
109,78605,2022-07,69400.1215,520.4899930411716,0.0284,0.001,Condo/Co-op,0.044,0.004,0.072
110,78605,2022-10,69400.1215,543.8412714585633,0.0284,0.001,Condo/Co-op,0.044,0.004,0.072
111,78605,2022-04,69400.1215,493.8764550844589,0.0284,0.001,Multi-Family (2-4 Unit),0.044,0.004,0.072
112,78605,2022-07,69400.1215,520.4899930411716,0.0284,0.001,Multi-Family (2-4 Unit),0.044,0.004,0.072
113,78605,2022-10,69400.1215,543.8412714585633,0.0284,0.001,Multi-Family (2-4 Unit),0.044,0.004,0.072
114,78605,2022-04,69400.1215,493.8764550844589,0.0284,0.001,Single Family Residential,0.044,0.004,0.072
115,78605,2022-07,69400.1215,520.4899930411716,0.0284,0.001,Single Family Residential,0.044,0.004,0.072
116,78605,2022-10,69400.1215,543.8412714585633,0.0284,0.001,Single Family Residential,0.044,0.004,0.072
117,78605,2022-04,69400.1215,493.8764550844589,0.0284,0.001,Townhouse,0.044,0.004,0.072
118,78605,2022-07,69400.1215,520.4899930411716,0.0284,0.001,Townhouse,0.044,0.004,0.072
119,78605,2022-10,69400.1215,543.8412714585633,0.0284,0.001,Townhouse,0.044,0.004,0.072
120,78608,2022-04,59901.7508,493.8764550844589,0.0,0.0,All Residential,0.0,0.0,0.281
121,78608,2022-07,59901.7508,520.4899930411716,0.0,0.0,All Residential,0.0,0.0,0.281
122,78608,2022-10,59901.7508,543.8412714585633,0.0,0.0,All Residential,0.0,0.0,0.281
