zipcode,year,median_income
76527,2011,49718
76530,2011,45521
76537,2011,59609
76573,2011,31364
76574,2011,44114
76578,2011,65610
78602,2011,57030
78605,2011,44898
78608,2011,56202
78610,2011,82702
78611,2011,52671
78612,2011,60625
78613,2011,81819
78615,2011,67917
78616,2011,49102
78617,2011,44334
78619,2011,97841
78620,2011,88867
78621,2011,54212
78622,2011,64500
78626,2011,58111
78628,2011,81294
78633,2011,72579
78634,2011,69903
78640,2011,62235
78641,2011,67683
78641,2011,67683
78642,2011,66612
78644,2011,44717
78645,2011,68095
78648,2011,38868
78650,2011,59792
78652,2011,79107
78653,2011,55073
78654,2011,43326
78655,2011,48167
78656,2011,36250
78659,2011,59928
78660,2011,72137
78661,2011,32500
78662,2011,57500
78664,2011,62283
78665,2011,88436
78666,2011,34238
78669,2011,85313
78676,2011,68185
78681,2011,89900
78701,2011,63484
78702,2011,35350
78703,2011,85379
78704,2011,47336
78705,2011,11910
78712,2011,-1
78717,2011,94112
78719,2011,39794
78721,2011,30591
78722,2011,44798
78723,2011,41839
78724,2011,37736
78725,2011,53131
78726,2011,66224
78727,2011,63952
78728,2011,46870
78729,2011,61165
78730,2011,121765
78731,2011,80192
78732,2011,125171
78733,2011,119516
78734,2011,85233
78735,2011,74857
78736,2011,85826
78737,2011,115714
78738,2011,121522
78739,2011,132552
78741,2011,30021
78742,2011,21071
78744,2011,39652
78745,2011,48029
78746,2011,129188
78747,2011,56357
78748,2011,66661
78749,2011,79712
78750,2011,79685
78751,2011,37521
78752,2011,33173
78753,2011,40463
78754,2011,54087
78756,2011,59745
78757,2011,54205
78758,2011,42194
78759,2011,65851
78953,2011,49000
78957,2011,43668
76527,2012,44154
76530,2012,55398
76537,2012,56186
76573,2012,26875
76574,2012,47585
76578,2012,65040
78602,2012,55170
78605,2012,48008
78608,2012,56495
78610,2012,83536
78611,2012,50268
78612,2012,63683
78613,2012,80694
78615,2012,65833
78616,2012,50365
78617,2012,43957
78619,2012,86417
78620,2012,95193
78621,2012,53307
78622,2012,44145
78626,2012,58389
78628,2012,82071
78633,2012,75028
78634,2012,69625
78640,2012,63855
78641,2012,64442
78641,2012,64442
78642,2012,70665
78644,2012,43936
78645,2012,70981
78648,2012,33729
78650,2012,56563
78652,2012,77985
78653,2012,55398
78654,2012,44962
78655,2012,44759
78656,2012,39375
78659,2012,63625
78660,2012,71507
78661,2012,37969
78662,2012,73864
78664,2012,60442
78665,2012,84804
78666,2012,33856
78669,2012,82244
78676,2012,63013
78681,2012,92981
78701,2012,68152
78702,2012,34734
78703,2012,92606
78704,2012,50248
78705,2012,11917
78712,2012,-1
78717,2012,93305
78719,2012,39500
78721,2012,32131
78722,2012,44917
78723,2012,41869
78724,2012,35711
78725,2012,52313
78726,2012,66096
78727,2012,65687
78728,2012,47405
78729,2012,57358
78730,2012,119573
78731,2012,78265
78732,2012,127726
78733,2012,124831
78734,2012,82904
78735,2012,74571
78736,2012,84375
78737,2012,116250
78738,2012,126233
78739,2012,126525
78741,2012,30183
78742,2012,34076
78744,2012,41056
78745,2012,49243
78746,2012,125327
78747,2012,57904
78748,2012,65889
78749,2012,80956
78750,2012,75958
78751,2012,38624
78752,2012,33271
78753,2012,39593
78754,2012,53274
78756,2012,59685
78757,2012,55156
78758,2012,41792
78759,2012,65672
78953,2012,47083
78957,2012,43459
76527,2013,44977
76530,2013,50463
76537,2013,54479
76573,2013,-1
76574,2013,45011
76578,2013,57857
78602,2013,50376
78605,2013,52277
78608,2013,56727
78610,2013,79049
78611,2013,48409
78612,2013,63144
78613,2013,81928
78615,2013,65625
78616,2013,50848
78617,2013,45212
78619,2013,87228
78620,2013,89899
78621,2013,52471
78622,2013,46250
78626,2013,57787
78628,2013,80363
78633,2013,74986
78634,2013,73729
78640,2013,64137
78641,2013,71885
78641,2013,71885
78642,2013,75375
78644,2013,46967
78645,2013,73601
78648,2013,34903
78650,2013,54474
78652,2013,76604
78653,2013,59763
78654,2013,46086
78655,2013,46823
78656,2013,43922
78659,2013,68452
78660,2013,76007
78661,2013,39821
78662,2013,75050
78664,2013,61401
78665,2013,85907
78666,2013,33827
78669,2013,83024
78676,2013,66050
78681,2013,92453
78701,2013,86541
78702,2013,36197
78703,2013,80569
78704,2013,50930
78705,2013,12143
78712,2013,-1
78717,2013,93701
78719,2013,38305
78721,2013,33798
78722,2013,50923
78723,2013,42939
78724,2013,38479
78725,2013,52381
78726,2013,67466
78727,2013,69570
78728,2013,48612
78729,2013,60690
78730,2013,120568
78731,2013,75269
78732,2013,131216
78733,2013,122860
78734,2013,87300
78735,2013,79984
78736,2013,84940
78737,2013,121094
78738,2013,118795
78739,2013,128597
78741,2013,30871
78742,2013,19688
78744,2013,41721
78745,2013,50672
78746,2013,128936
78747,2013,61599
78748,2013,66309
78749,2013,84907
78750,2013,76236
78751,2013,39032
78752,2013,34716
78753,2013,38884
78754,2013,54896
78756,2013,59854
78757,2013,57429
78758,2013,43537
78759,2013,66828
78953,2013,44604
78957,2013,42994
76527,2014,47214
76530,2014,52563
76537,2014,53318
76573,2014,31125
76574,2014,47854
76578,2014,57589
78602,2014,53777
78605,2014,59797
78608,2014,56627
78610,2014,74550
78611,2014,49743
78612,2014,62900
78613,2014,83146
78615,2014,60139
78616,2014,52184
78617,2014,45040
78619,2014,110074
78620,2014,89595
78621,2014,54850
78622,2014,49063
78626,2014,57602
78628,2014,79813
78633,2014,73324
78634,2014,73977
78640,2014,66789
78641,2014,73535
78641,2014,73535
78642,2014,72388
78644,2014,51533
78645,2014,70854
78648,2014,45052
78650,2014,54514
78652,2014,70868
