zipcode,year,median_income
98001,2011,76814
98002,2011,42710
98003,2011,48931
98004,2011,84413
98005,2011,80320
98006,2011,107007
98007,2011,68892
98008,2011,93141
98010,2011,97093
98011,2011,75683
98014,2011,94710
98019,2011,103875
98022,2011,68630
98023,2011,66438
98024,2011,86994
98027,2011,96507
98028,2011,81097
98029,2011,95321
98030,2011,52884
98031,2011,64599
98032,2011,49736
98033,2011,105065
98034,2011,77001
98038,2011,97593
98039,2011,176354
98040,2011,123328
98042,2011,87545
98042,2011,87545
98045,2011,90355
98047,2011,52034
98050,2011,259999
98051,2011,74294
98052,2011,95299
98053,2011,111533
98055,2011,65521
98056,2011,70154
98057,2011,44012
98058,2011,80864
98059,2011,87581
98065,2011,117757
98070,2011,81461
98072,2011,103934
98074,2011,134537
98075,2011,137276
98077,2011,131578
98092,2011,75090
98101,2011,35749
98102,2011,55311
98103,2011,69510
98104,2011,22648
98105,2011,45185
98106,2011,57740
98107,2011,59839
98108,2011,51754
98109,2011,64801
98112,2011,89054
98115,2011,82654
98116,2011,75563
98117,2011,84254
98118,2011,53903
98119,2011,62385
98121,2011,55897
98122,2011,47405
98125,2011,54301
98126,2011,68479
98133,2011,50960
98134,2011,40458
98136,2011,78958
98144,2011,52128
98146,2011,53346
98148,2011,46618
98154,2011,-1
98155,2011,73858
98158,2011,-1
98164,2011,77143
98166,2011,67738
98168,2011,49081
98174,2011,-1
98177,2011,97725
98178,2011,60190
98188,2011,41881
98195,2011,-1
98198,2011,57751
98199,2011,85750
98224,2011,37386
98288,2011,29063
98001,2012,76680
98002,2012,42342
98003,2012,48007
98004,2012,90503
98005,2012,84048
98006,2012,109478
98007,2012,70644
98008,2012,93962
98010,2012,89258
98011,2012,72652
98014,2012,92778
98019,2012,99038
98022,2012,68333
98023,2012,67373
98024,2012,84548
98027,2012,99684
98028,2012,83906
98029,2012,95859
98030,2012,52926
98031,2012,63852
98032,2012,48917
98033,2012,101081
98034,2012,77602
98038,2012,96473
98039,2012,165625
98040,2012,127360
98042,2012,87865
98042,2012,87865
98045,2012,88460
98047,2012,46544
98050,2012,259999
98051,2012,76430
98052,2012,98911
98053,2012,119949
98055,2012,64823
98056,2012,72488
98057,2012,43742
98058,2012,80495
98059,2012,88855
98065,2012,118921
98070,2012,74913
98072,2012,104342
98074,2012,142549
98075,2012,145254
98077,2012,133819
98092,2012,71519
98101,2012,37758
98102,2012,57387
98103,2012,72024
98104,2012,26140
98105,2012,45869
98106,2012,55008
98107,2012,65920
98108,2012,51343
98109,2012,69777
98112,2012,92907
98115,2012,83871
98116,2012,70542
98117,2012,87072
98118,2012,55135
98119,2012,65127
98121,2012,59196
98122,2012,49846
98125,2012,52572
98126,2012,68936
98133,2012,50289
98134,2012,41079
98136,2012,87630
98144,2012,53605
98146,2012,56058
98148,2012,47640
98154,2012,-1
98155,2012,76219
98158,2012,-1
98164,2012,7019
98166,2012,64284
98168,2012,49184
98174,2012,-1
98177,2012,96597
98178,2012,55945
98188,2012,43143
98195,2012,-1
98198,2012,58977
98199,2012,84127
98224,2012,35227
98288,2012,27750
98001,2013,71746
98002,2013,43568
98003,2013,45894
98004,2013,93521
98005,2013,84774
98006,2013,110290
98007,2013,73162
98008,2013,92986
98010,2013,85398
98011,2013,71720
98014,2013,95394
98019,2013,95025
98022,2013,66295
98023,2013,67906
98024,2013,93777
98027,2013,100644
98028,2013,82448
98029,2013,99974
98030,2013,51446
98031,2013,63709
98032,2013,48853
98033,2013,103250
98034,2013,77688
98038,2013,95043
98039,2013,183833
98040,2013,126359
98042,2013,87342
98042,2013,87342
98045,2013,88906
98047,2013,52482
98050,2013,259999
98051,2013,77623
98052,2013,99192
98053,2013,116518
98055,2013,66461
98056,2013,70683
98057,2013,43339
98058,2013,77780
98059,2013,91465
98065,2013,121415
98070,2013,72774
98072,2013,107654
98074,2013,143686
98075,2013,142926
98077,2013,137125
98092,2013,70877
98101,2013,42938
98102,2013,65054
98103,2013,75763
98104,2013,26637
98105,2013,45560
98106,2013,57875
98107,2013,67566
98108,2013,52232
98109,2013,77034
98112,2013,96054
98115,2013,84159
98116,2013,74274
98117,2013,86986
98118,2013,52276
98119,2013,68383
98121,2013,59355
98122,2013,53570
98125,2013,53044
98126,2013,66408
98133,2013,51499
98134,2013,43151
98136,2013,84344
98144,2013,55950
98146,2013,56809
98148,2013,45424
98154,2013,-1
98155,2013,72281
98158,2013,-1
98164,2013,73833
98166,2013,63320
98168,2013,49233
98174,2013,-1
98177,2013,95648
98178,2013,58707
98188,2013,40815
98195,2013,-1
98198,2013,56364
98199,2013,82882
98224,2013,27143
98288,2013,26750
98001,2014,72540
98002,2014,44930
98003,2014,45563
98004,2014,100344
98005,2014,85639
98006,2014,111216
98007,2014,75264
98008,2014,88862
98010,2014,71280
98011,2014,74975
98014,2014,97806
98019,2014,93004
98022,2014,65864
98023,2014,67881
98024,2014,99257
98027,2014,102760
98028,2014,88472
98029,2014,99519
98030,2014,52297
98031,2014,65321
98032,2014,47030
98033,2014,103995
98034,2014,81037
98038,2014,93573
98039,2014,182308
98040,2014,125651
98042,2014,88006
98042,2014,88006
98045,2014,87470
98047,2014,52222
98050,2014,247188
98051,2014,78941
98052,2014,103086
98053,2014,119637
