zipcode,year,median_income
98001,2021,97295.525
98001,2022,104656.3005
98002,2021,60367.312
98002,2022,63416.2134
98003,2021,61625.8643
98003,2022,63850.8936
98004,2021,142546.0694
98004,2022,151299.5945
98005,2021,130295.7557
98005,2022,139478.6793
98006,2021,152972.0036
98006,2022,161715.0929
98007,2021,100921.4658
98007,2022,105084.9596
98008,2021,131226.1935
98008,2022,144702.53
98010,2021,140812.8088
98010,2022,158244.0716
98011,2021,104061.5562
98011,2022,109077.4041
98014,2021,118315.433
98014,2022,124317.6003
98019,2021,151133.419
98019,2022,162805.1478
98022,2021,82158.3643
98022,2022,88498.888
98023,2021,80954.0732
98023,2022,82584.6213
98024,2021,148110.6147
98024,2022,155578.6819
98027,2021,115477.1311
98027,2022,118022.0737
98028,2021,116181.2943
98028,2022,122501.5904
98029,2021,137671.5813
98029,2022,146168.9169
98030,2021,67875.418
98030,2022,71267.9629
98031,2021,88844.2426
98031,2022,94370.264
98032,2021,69138.7234
98032,2022,74639.4908
98033,2021,141961.29
98033,2022,150319.0983
98034,2021,105671.1327
98034,2022,109656.1302
98038,2021,117908.3918
98038,2022,124195.5774
98039,2021,215344.7364
98039,2022,225365.3572
98040,2021,153249.4202
98040,2022,158810.601
98042,2021,108898.975
98042,2022,113490.1621
98045,2021,118318.404
98045,2022,124280.6087
98047,2021,62180.0384
98047,2022,64272.8245
98050,2021,139138.8073
98050,2022,139126.7303
98051,2021,91910.132
98051,2022,93759.2019
98052,2021,144061.6309
98052,2022,153417.4667
98053,2021,152825.307
98053,2022,162610.8968
98055,2021,81313.8541
98055,2022,86090.5784
98056,2021,87194.894
98056,2022,88881.2469
98057,2021,62952.2649
98057,2022,68725.812
98058,2021,95557.9165
98058,2022,98979.6579
98059,2021,108559.6711
98059,2022,111347.379
98065,2021,147576.3062
98065,2022,150832.6124
98070,2021,82473.2757
98070,2022,84898.8287
98072,2021,115866.3898
98072,2022,117725.4593
98074,2021,201463.4538
98074,2022,216002.9721
98075,2021,186070.9467
98075,2022,193496.1183
98077,2021,178028.8417
98077,2022,189945.7016
98092,2021,97811.1121
98092,2022,102977.7033
98101,2021,87030.8294
98101,2022,93271.8962
98102,2021,96239.0669
98102,2022,100749.9727
