Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98001,0.4%,0.5%,0.5%,0.5%,0.3%,0.2%,0.2%,0.1%,0.1%,0.8%
98002,1.6%,1.4%,0.7%,0.4%,0.4%,0.3%,0.4%,0.6%,0.6%,0.5%
98003,0.6%,0.6%,0.8%,0.8%,0.7%,1.9%,1.9%,1.8%,2.1%,2.0%
98004,4.3%,5.3%,5.4%,5.0%,4.6%,3.8%,3.2%,3.1%,3.2%,3.0%
98005,1.9%,1.8%,1.4%,2.2%,3.4%,3.6%,3.9%,4.5%,3.8%,2.5%
98006,1.4%,0.9%,0.9%,1.1%,1.4%,1.6%,1.7%,2.1%,2.3%,2.2%
98007,6.2%,7.1%,7.2%,7.9%,7.5%,7.0%,6.7%,5.1%,4.3%,4.9%
98008,0.6%,0.6%,1.5%,1.9%,2.5%,3.0%,3.2%,2.3%,2.0%,1.9%
98010,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.3%
98011,1.6%,1.7%,1.3%,1.1%,0.6%,0.5%,1.0%,0.8%,1.2%,0.9%
98014,0.4%,0.5%,0.8%,0.3%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%
98019,0.7%,0.6%,0.5%,0.5%,0.6%,0.2%,0.0%,0.0%,0.0%,0.0%
98021,0.3%,0.3%,0.5%,0.7%,1.0%,1.1%,1.2%,1.1%,0.9%,0.6%
98022,0.0%,0.2%,0.1%,0.1%,0.4%,0.4%,0.7%,0.7%,0.8%,0.6%
98023,0.8%,0.7%,0.7%,0.5%,0.5%,0.5%,0.5%,0.4%,0.3%,0.2%
98024,0.0%,0.0%,0.0%,0.0%,0.7%,0.7%,0.8%,0.6%,1.0%,1.0%
98027,1.4%,1.4%,0.7%,0.5%,0.3%,0.4%,0.7%,1.0%,1.1%,1.1%
98028,1.0%,0.7%,0.8%,0.3%,0.3%,0.4%,0.6%,0.5%,0.6%,1.0%
98029,1.8%,1.1%,1.6%,1.7%,2.3%,3.1%,2.3%,1.9%,2.0%,1.3%
98030,3.8%,2.1%,2.8%,2.6%,2.5%,2.5%,2.3%,2.2%,2.3%,1.6%
98031,0.9%,0.9%,0.7%,1.1%,1.5%,1.1%,1.1%,1.1%,0.8%,0.6%
98032,0.8%,0.7%,0.6%,0.5%,0.9%,1.2%,2.0%,2.1%,2.4%,2.0%
98033,1.4%,1.3%,0.9%,1.4%,1.8%,2.0%,2.5%,2.9%,2.6%,2.3%
98034,1.7%,0.9%,0.7%,1.3%,1.3%,1.1%,2.4%,3.1%,2.4%,2.5%
98038,0.1%,0.1%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.6%,0.7%
98039,2.1%,1.4%,0.7%,0.8%,0.5%,0.3%,0.2%,1.4%,1.7%,2.5%
98040,1.4%,1.5%,1.6%,1.6%,1.2%,1.2%,0.9%,1.2%,1.0%,0.9%
98042,0.2%,0.1%,0.1%,0.2%,0.6%,0.7%,0.8%,0.8%,0.9%,0.9%
98043,0.8%,0.5%,0.5%,0.4%,0.4%,0.7%,0.7%,0.9%,1.3%,1.5%
98045,0.2%,0.3%,0.4%,0.3%,0.3%,0.3%,0.2%,0.1%,0.0%,0.0%
98047,0.5%,0.7%,0.5%,0.4%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%
98050,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98051,0.5%,0.4%,0.0%,0.2%,0.3%,0.2%,0.2%,0.2%,0.0%,0.0%
98052,3.6%,3.6%,4.0%,4.7%,4.9%,5.0%,5.3%,5.5%,5.0%,4.3%
98053,0.4%,1.0%,1.5%,1.2%,1.1%,0.8%,1.2%,0.9%,0.7%,3.3%
98055,0.6%,0.7%,0.5%,1.4%,1.6%,2.1%,1.9%,2.2%,2.1%,1.7%
98056,0.3%,0.8%,0.7%,1.0%,1.1%,1.2%,0.6%,0.8%,0.6%,0.4%
98057,1.0%,1.0%,0.7%,0.7%,0.8%,0.7%,0.3%,2.2%,2.2%,1.7%
98058,0.5%,0.6%,0.6%,0.3%,0.2%,0.2%,0.4%,0.5%,0.6%,0.8%
98059,1.4%,1.1%,0.6%,0.4%,0.6%,0.5%,0.9%,1.0%,1.0%,0.8%
98065,0.5%,0.4%,0.5%,0.6%,0.4%,0.5%,0.5%,0.5%,0.6%,0.6%
98068,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.2%,0.4%
98070,0.5%,0.4%,0.6%,0.5%,0.4%,0.0%,0.0%,0.0%,0.0%,0.4%
98072,0.4%,0.5%,0.3%,0.3%,0.4%,1.1%,1.0%,1.2%,1.4%,1.1%
98074,1.5%,1.0%,1.0%,1.2%,1.2%,1.2%,1.6%,1.5%,1.7%,1.6%
98075,1.2%,1.2%,0.8%,0.9%,1.3%,1.4%,1.7%,2.2%,2.1%,1.8%
98077,0.6%,0.2%,0.1%,0.5%,0.7%,0.7%,0.7%,1.0%,1.0%,0.7%
98092,0.7%,0.9%,0.8%,0.8%,0.7%,0.7%,0.7%,0.7%,1.2%,1.0%
98101,2.2%,1.8%,2.0%,2.0%,2.4%,2.9%,2.6%,4.0%,3.8%,3.2%
98102,0.6%,0.7%,0.6%,0.5%,0.9%,1.1%,1.7%,1.7%,2.0%,2.2%
98103,1.2%,0.8%,1.0%,1.2%,1.1%,0.9%,0.9%,0.9%,1.0%,1.2%
98104,1.0%,1.5%,1.5%,2.0%,2.2%,2.4%,2.3%,2.2%,1.6%,2.4%
98105,2.5%,3.2%,3.3%,3.2%,3.6%,4.0%,3.4%,4.1%,4.0%,3.7%
98106,0.4%,0.5%,0.6%,0.6%,0.4%,0.5%,0.5%,0.5%,0.7%,0.6%
98107,1.1%,1.3%,0.7%,1.1%,0.7%,0.7%,0.8%,0.6%,1.7%,1.5%
98108,1.3%,0.7%,1.0%,0.8%,0.9%,0.8%,0.8%,0.6%,0.4%,0.2%
98109,0.8%,1.0%,1.1%,2.0%,2.0%,2.7%,4.0%,5.1%,4.7%,5.4%
98112,2.1%,1.8%,1.4%,1.5%,1.3%,0.9%,0.9%,1.0%,0.9%,1.2%
98115,1.4%,1.4%,1.2%,1.3%,1.6%,1.2%,1.3%,1.4%,1.3%,0.8%
98116,0.9%,1.0%,0.9%,0.8%,0.5%,0.6%,0.5%,0.4%,0.4%,0.7%
98117,0.6%,0.8%,0.6%,0.5%,0.7%,0.8%,1.0%,1.0%,1.0%,0.8%
98118,2.3%,2.1%,1.8%,2.4%,0.7%,0.7%,0.8%,0.8%,0.8%,1.0%
98119,1.4%,1.2%,0.8%,1.0%,1.2%,1.3%,1.3%,1.6%,1.5%,1.3%
98121,0.9%,1.3%,1.0%,1.7%,3.4%,4.1%,3.8%,4.2%,3.9%,2.5%
98122,0.9%,0.9%,0.8%,0.9%,0.8%,1.1%,1.3%,1.6%,1.6%,1.8%
98125,1.5%,1.2%,1.1%,2.2%,2.6%,2.8%,2.7%,2.5%,1.4%,0.9%
98126,0.5%,0.6%,0.2%,0.2%,0.5%,0.5%,1.0%,0.9%,0.9%,0.5%
98133,1.6%,1.8%,1.7%,1.9%,1.8%,2.5%,2.3%,2.2%,1.7%,1.4%
98134,4.7%,0.0%,0.0%,1.6%,1.8%,1.8%,1.8%,2.0%,0.0%,0.0%
98136,0.5%,0.5%,0.6%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
98144,1.7%,1.7%,1.0%,0.9%,0.7%,0.7%,0.8%,0.7%,0.8%,0.5%
98146,0.6%,0.7%,0.8%,1.0%,1.0%,0.9%,1.1%,1.1%,0.9%,0.8%
98148,0.7%,0.5%,1.4%,1.8%,1.7%,1.6%,2.6%,2.1%,1.9%,1.5%
98155,0.7%,0.7%,0.6%,0.4%,0.9%,1.0%,0.9%,1.0%,1.4%,0.7%
98164,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98166,1.0%,1.0%,1.0%,0.4%,0.4%,0.4%,0.8%,0.7%,0.6%,0.6%
98168,2.8%,2.8%,2.5%,3.2%,2.5%,2.4%,1.6%,1.3%,1.6%,0.9%
98177,0.1%,0.2%,0.3%,0.2%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%
98178,0.3%,0.5%,0.4%,0.4%,2.6%,2.9%,2.9%,2.9%,2.9%,1.1%
98188,1.3%,0.9%,1.2%,1.2%,1.2%,1.0%,1.1%,1.1%,1.1%,0.9%
98195,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98198,1.0%,0.9%,0.8%,0.8%,0.8%,1.0%,0.7%,0.8%,1.2%,1.2%
98199,0.4%,0.5%,0.5%,0.4%,0.5%,0.2%,0.5%,0.6%,0.7%,1.7%
98224,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98288,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98321,0.2%,0.1%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%
98323,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.3%,0.2%,0.1%,0.3%
98354,0.5%,0.6%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98391,0.1%,0.1%,0.1%,0.2%,0.2%,0.2%,0.1%,0.2%,0.1%,0.1%
