zipcode,year,mobility
98001,2011,0.004
98001,2012,0.005
98001,2013,0.005
98001,2014,0.005
98001,2015,0.003
98001,2016,0.002
98001,2017,0.002
98001,2018,0.001
98001,2019,0.001
98001,2020,0.008
98001,2021,0.0006
98001,2022,0.0002
98002,2011,0.016
98002,2012,0.013999999999999999
98002,2013,0.006999999999999999
98002,2014,0.004
98002,2015,0.004
98002,2016,0.003
98002,2017,0.004
98002,2018,0.006
98002,2019,0.006
98002,2020,0.005
98002,2021,0.0063
98002,2022,0.0065
98003,2011,0.006
98003,2012,0.006
98003,2013,0.008
98003,2014,0.008
98003,2015,0.006999999999999999
98003,2016,0.019
98003,2017,0.019
98003,2018,0.018000000000000002
98003,2019,0.021
98003,2020,0.02
98003,2021,0.0234
98003,2022,0.0256
98004,2011,0.043
98004,2012,0.053
98004,2013,0.054000000000000006
98004,2014,0.05
98004,2015,0.046
98004,2016,0.038
98004,2017,0.032
98004,2018,0.031
98004,2019,0.032
98004,2020,0.03
98004,2021,0.0321
98004,2022,0.0327
98005,2011,0.019
98005,2012,0.018000000000000002
98005,2013,0.013999999999999999
98005,2014,0.022000000000000002
98005,2015,0.034
98005,2016,0.036000000000000004
98005,2017,0.039
98005,2018,0.045
98005,2019,0.038
98005,2020,0.025
98005,2021,0.0402
98005,2022,0.0424
98006,2011,0.013999999999999999
98006,2012,0.009000000000000001
98006,2013,0.009000000000000001
98006,2014,0.011000000000000001
98006,2015,0.013999999999999999
98006,2016,0.016
98006,2017,0.017
98006,2018,0.021
98006,2019,0.023
98006,2020,0.022000000000000002
98006,2021,0.0257
98006,2022,0.0283
98007,2011,0.062
98007,2012,0.071
98007,2013,0.07200000000000001
98007,2014,0.079
98007,2015,0.075
98007,2016,0.07
98007,2017,0.067
98007,2018,0.051
98007,2019,0.043
98007,2020,0.049
98007,2021,0.0319
98007,2022,0.021
98008,2011,0.006
98008,2012,0.006
98008,2013,0.015
98008,2014,0.019
98008,2015,0.025
98008,2016,0.03
98008,2017,0.032
98008,2018,0.023
98008,2019,0.02
98008,2020,0.019
98008,2021,0.0148
98008,2022,0.0098
98010,2011,0.0
98010,2012,0.0
98010,2013,0.0
98010,2014,0.0
98010,2015,0.0
98010,2016,0.0
98010,2017,0.0
98010,2018,0.002
98010,2019,0.002
98010,2020,0.003
98010,2021,0.0026
98010,2022,0.0032
98011,2011,0.016
98011,2012,0.017
98011,2013,0.013000000000000001
98011,2014,0.011000000000000001
98011,2015,0.006
98011,2016,0.005
98011,2017,0.01
98011,2018,0.008
98011,2019,0.012
98011,2020,0.009000000000000001
98011,2021,0.0115
98011,2022,0.0109
98014,2011,0.004
98014,2012,0.005
98014,2013,0.008
98014,2014,0.003
98014,2015,0.002
98014,2016,0.002
98014,2017,0.002
98014,2018,0.0
98014,2019,0.0
98014,2020,0.0
98014,2021,-0.001
98014,2022,-0.0018
98019,2011,0.006999999999999999
98019,2012,0.006
98019,2013,0.005
98019,2014,0.005
98019,2015,0.006
98019,2016,0.002
98019,2017,0.0
98019,2018,0.0
98019,2019,0.0
98019,2020,0.0
98019,2021,-0.0015
98019,2022,-0.0024
98021,2011,0.003
98021,2012,0.003
98021,2013,0.005
98021,2014,0.006999999999999999
98021,2015,0.01
98021,2016,0.011000000000000001
98021,2017,0.012
98021,2018,0.011000000000000001
98021,2019,0.009000000000000001
98021,2020,0.006
98021,2021,0.007
98021,2022,0.0051
98022,2011,0.0
98022,2012,0.002
98022,2013,0.001
98022,2014,0.001
98022,2015,0.004
98022,2016,0.004
98022,2017,0.006999999999999999
98022,2018,0.006999999999999999
98022,2019,0.008
98022,2020,0.006
98022,2021,0.0091
98022,2022,0.0102
98023,2011,0.008
98023,2012,0.006999999999999999
98023,2013,0.006999999999999999
98023,2014,0.005
98023,2015,0.005
98023,2016,0.005
98023,2017,0.005
98023,2018,0.004
98023,2019,0.003
98023,2020,0.002
98023,2021,0.0028
98023,2022,0.0023
98024,2011,0.0
98024,2012,0.0
98024,2013,0.0
98024,2014,0.0
98024,2015,0.006999999999999999
98024,2016,0.006999999999999999
98024,2017,0.008
98024,2018,0.006
98024,2019,0.01
98024,2020,0.01
98024,2021,0.0107
98024,2022,0.012
98027,2011,0.013999999999999999
98027,2012,0.013999999999999999
98027,2013,0.006999999999999999
98027,2014,0.005
98027,2015,0.003
98027,2016,0.004
98027,2017,0.006999999999999999
98027,2018,0.01
98027,2019,0.011000000000000001
98027,2020,0.011000000000000001
98027,2021,0.0107
98027,2022,0.0103
98028,2011,0.01
98028,2012,0.006999999999999999
98028,2013,0.008
98028,2014,0.003
98028,2015,0.003
98028,2016,0.004
98028,2017,0.006
98028,2018,0.005
98028,2019,0.006
98028,2020,0.01
98028,2021,0.0067
98028,2022,0.0075
98029,2011,0.018000000000000002
98029,2012,0.011000000000000001
98029,2013,0.016
98029,2014,0.017
98029,2015,0.023
98029,2016,0.031
98029,2017,0.023
98029,2018,0.019
98029,2019,0.02
98029,2020,0.013000000000000001
98029,2021,0.0193
98029,2022,0.0187
98030,2011,0.038
98030,2012,0.021
98030,2013,0.027999999999999997
98030,2014,0.026000000000000002
98030,2015,0.025
98030,2016,0.025
98030,2017,0.023
98030,2018,0.022000000000000002
98030,2019,0.023
98030,2020,0.016
98030,2021,0.0223
98030,2022,0.0222
98031,2011,0.009000000000000001
98031,2012,0.009000000000000001
98031,2013,0.006999999999999999
98031,2014,0.011000000000000001
98031,2015,0.015
98031,2016,0.011000000000000001
98031,2017,0.011000000000000001
98031,2018,0.011000000000000001
98031,2019,0.008
98031,2020,0.006
98031,2021,0.011
98031,2022,0.0112
98032,2011,0.008
98032,2012,0.006999999999999999
98032,2013,0.006
98032,2014,0.005
98032,2015,0.009000000000000001
98032,2016,0.012
98032,2017,0.02
98032,2018,0.021
98032,2019,0.024
98032,2020,0.02
98032,2021,0.0271
98032,2022,0.0301
98033,2011,0.013999999999999999
98033,2012,0.013000000000000001
98033,2013,0.009000000000000001
98033,2014,0.013999999999999999
98033,2015,0.018000000000000002
98033,2016,0.02
98033,2017,0.025
98033,2018,0.028999999999999998
98033,2019,0.026000000000000002
98033,2020,0.023
98033,2021,0.0275
98033,2022,0.0289
98034,2011,0.017
98034,2012,0.009000000000000001
98034,2013,0.006999999999999999
98034,2014,0.013000000000000001
98034,2015,0.013000000000000001
98034,2016,0.011000000000000001
98034,2017,0.024
98034,2018,0.031
98034,2019,0.024
98034,2020,0.025
98034,2021,0.0311
98034,2022,0.0336
98038,2011,0.001
98038,2012,0.001
98038,2013,0.003
98038,2014,0.003
98038,2015,0.003
98038,2016,0.003
98038,2017,0.003
98038,2018,0.002
98038,2019,0.006
98038,2020,0.006999999999999999
98038,2021,0.0046
98038,2022,0.005
98039,2011,0.021
98039,2012,0.013999999999999999
98039,2013,0.006999999999999999
98039,2014,0.008
98039,2015,0.005
98039,2016,0.003
98039,2017,0.002
98039,2018,0.013999999999999999
98039,2019,0.017
98039,2020,0.025
98039,2021,0.0229
98039,2022,0.0291
98040,2011,0.013999999999999999
98040,2012,0.015
98040,2013,0.016
98040,2014,0.016
98040,2015,0.012
98040,2016,0.012
98040,2017,0.009000000000000001
98040,2018,0.012
98040,2019,0.01
98040,2020,0.009000000000000001
98040,2021,0.0095
98040,2022,0.009
98042,2011,0.002
98042,2012,0.001
98042,2013,0.001
98042,2014,0.002
98042,2015,0.006
98042,2016,0.006999999999999999
98042,2017,0.008
98042,2018,0.008
98042,2019,0.009000000000000001
98042,2020,0.009000000000000001
98042,2021,0.0098
98042,2022,0.0106
98043,2011,0.008
98043,2012,0.005
98043,2013,0.005
98043,2014,0.004
98043,2015,0.004
98043,2016,0.006999999999999999
98043,2017,0.006999999999999999
98043,2018,0.009000000000000001
98043,2019,0.013000000000000001
98043,2020,0.015
98043,2021,0.0153
98043,2022,0.0182
98045,2011,0.002
98045,2012,0.003
98045,2013,0.004
98045,2014,0.003
98045,2015,0.003
98045,2016,0.003
98045,2017,0.002
98045,2018,0.001
98045,2019,0.0
98045,2020,0.0
98045,2021,-0.001
98045,2022,-0.002
98047,2011,0.005
98047,2012,0.006999999999999999
98047,2013,0.005
98047,2014,0.004
98047,2015,0.001
98047,2016,0.001
98047,2017,0.0
98047,2018,0.0
98047,2019,0.0
98047,2020,0.0
98047,2021,-0.0
98047,2022,0.0
98050,2011,0.0
98050,2012,0.0
98050,2013,0.0
98050,2014,0.0
98050,2015,0.0
98050,2016,0.0
98050,2017,0.0
98050,2018,0.0
98050,2019,0.0
98050,2020,0.0
98050,2021,0.0
98050,2022,0.0
98051,2011,0.005
98051,2012,0.004
98051,2013,0.0
98051,2014,0.002
98051,2015,0.003
98051,2016,0.002
98051,2017,0.002
98051,2018,0.002
98051,2019,0.0
98051,2020,0.0
98051,2021,-0.0001
98051,2022,-0.0006
98052,2011,0.036000000000000004
98052,2012,0.036000000000000004
98052,2013,0.04
98052,2014,0.047
98052,2015,0.049
98052,2016,0.05
98052,2017,0.053
98052,2018,0.055
98052,2019,0.05
98052,2020,0.043
98052,2021,0.0516
98052,2022,0.0532
98053,2011,0.004
98053,2012,0.01
98053,2013,0.015
98053,2014,0.012
98053,2015,0.011000000000000001
98053,2016,0.008
98053,2017,0.012
98053,2018,0.009000000000000001
98053,2019,0.006999999999999999
98053,2020,0.033
98053,2021,0.0061
98053,2022,0.0047
98055,2011,0.006
98055,2012,0.006999999999999999
98055,2013,0.005
98055,2014,0.013999999999999999
98055,2015,0.016
98055,2016,0.021
98055,2017,0.019
98055,2018,0.022000000000000002
98055,2019,0.021
98055,2020,0.017
98055,2021,0.0236
