Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98001,1.4%,1.2%,1.2%,1.2%,0.9%,0.8%,0.8%,0.9%,0.8%,1.2%
98002,3.2%,3.0%,2.9%,2.3%,2.2%,2.8%,2.3%,2.8%,2.6%,2.1%
98003,1.7%,1.9%,1.9%,1.8%,2.1%,2.7%,2.5%,3.1%,2.5%,4.4%
98004,5.1%,4.6%,5.3%,5.4%,6.1%,6.6%,7.0%,7.3%,8.5%,7.4%
98005,4.3%,4.4%,4.4%,4.1%,4.8%,4.0%,4.1%,3.6%,3.3%,4.2%
98006,2.8%,3.5%,3.1%,3.5%,3.5%,3.8%,4.1%,5.2%,3.9%,3.2%
98007,4.6%,4.9%,4.8%,5.2%,4.7%,4.5%,4.5%,5.3%,5.2%,4.4%
98008,2.5%,2.3%,2.3%,3.1%,2.4%,2.4%,1.8%,2.6%,1.5%,1.5%
98010,0.4%,0.6%,0.6%,0.7%,1.4%,3.9%,4.1%,4.8%,6.7%,4.5%
98011,3.0%,2.5%,2.2%,1.9%,2.4%,2.6%,2.4%,2.6%,2.7%,2.5%
98014,0.6%,0.7%,1.3%,1.2%,1.5%,1.8%,1.9%,1.2%,1.0%,0.5%
98019,1.4%,1.7%,0.6%,0.6%,1.0%,1.0%,0.5%,0.7%,0.6%,0.8%
98021,2.5%,2.1%,2.3%,2.4%,2.0%,2.3%,3.8%,2.9%,2.5%,3.2%
98022,1.1%,1.3%,0.7%,0.8%,1.0%,0.9%,0.6%,0.8%,0.9%,1.1%
98023,2.4%,3.1%,3.0%,2.9%,3.0%,3.2%,2.5%,2.2%,2.2%,2.2%
98024,1.0%,0.8%,2.0%,3.2%,3.4%,5.1%,4.8%,3.4%,1.2%,1.6%
98027,4.0%,3.5%,3.0%,2.9%,3.8%,3.0%,3.5%,3.5%,3.3%,2.5%
98028,1.8%,2.5%,2.4%,2.4%,3.0%,3.1%,2.4%,2.7%,2.4%,1.8%
98029,4.1%,4.9%,6.1%,6.8%,6.1%,4.5%,6.5%,6.0%,7.1%,7.0%
98030,3.4%,3.7%,2.3%,2.5%,3.6%,3.6%,4.7%,5.7%,5.8%,3.7%
98031,0.8%,1.2%,1.1%,1.3%,2.4%,2.2%,2.3%,2.0%,1.8%,1.2%
98032,3.4%,2.6%,1.9%,2.3%,2.1%,2.1%,2.6%,2.9%,2.8%,2.3%
98033,2.5%,3.1%,3.3%,3.7%,4.0%,3.9%,3.8%,2.9%,3.3%,3.4%
98034,2.2%,2.9%,2.9%,2.9%,2.4%,2.5%,2.1%,2.4%,2.8%,2.8%
98038,2.9%,2.5%,2.3%,1.7%,1.8%,1.9%,1.8%,2.2%,2.6%,2.2%
98039,2.4%,2.5%,2.6%,2.2%,0.7%,1.0%,1.2%,0.7%,2.1%,2.3%
98040,2.1%,1.5%,2.3%,2.4%,3.4%,4.7%,4.7%,5.3%,5.2%,4.9%
98042,1.2%,1.1%,1.4%,1.9%,2.4%,2.0%,2.0%,1.8%,1.5%,0.8%
98043,1.6%,1.4%,2.3%,2.8%,2.7%,3.5%,3.3%,3.7%,3.1%,4.1%
98045,1.1%,2.3%,1.6%,1.0%,1.3%,1.7%,0.9%,1.1%,1.3%,1.3%
98047,0.5%,0.6%,0.4%,1.9%,1.8%,2.8%,3.8%,4.8%,4.0%,4.5%
98050,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98051,1.1%,0.6%,0.6%,0.7%,0.3%,2.0%,1.7%,1.1%,0.8%,0.7%
98052,3.6%,3.5%,3.0%,2.9%,3.5%,3.7%,3.1%,4.4%,4.9%,5.2%
98053,2.3%,2.4%,2.2%,1.6%,1.5%,2.4%,2.3%,2.7%,2.9%,2.1%
98055,2.4%,2.6%,2.7%,3.5%,3.0%,4.4%,6.3%,6.1%,5.7%,5.9%
98056,3.1%,3.2%,2.0%,2.2%,2.4%,2.4%,2.8%,2.7%,2.3%,1.9%
98057,4.5%,5.0%,5.1%,6.1%,5.5%,4.5%,4.1%,3.4%,4.1%,4.1%
98058,2.1%,2.5%,3.1%,2.9%,2.5%,2.3%,2.1%,2.1%,2.9%,2.8%
98059,1.7%,1.7%,1.6%,1.1%,1.4%,1.4%,1.1%,1.0%,1.2%,2.2%
98065,3.2%,3.4%,3.0%,3.3%,2.3%,1.4%,1.2%,1.5%,1.3%,1.0%
98068,2.4%,1.7%,1.6%,0.8%,1.2%,1.2%,1.0%,1.0%,0.5%,0.6%
98070,1.1%,1.0%,0.9%,3.0%,2.9%,2.7%,2.9%,2.7%,1.0%,1.1%
98072,2.0%,1.7%,1.4%,1.5%,1.5%,1.9%,2.3%,2.9%,2.8%,2.3%
98074,1.5%,1.6%,1.3%,1.3%,1.5%,2.2%,1.9%,2.2%,2.4%,2.2%
98075,2.1%,2.0%,3.0%,2.7%,3.1%,3.1%,2.2%,1.5%,1.7%,1.3%
98077,1.8%,1.5%,3.5%,2.9%,4.0%,3.6%,3.9%,1.8%,1.8%,1.7%
98092,2.0%,1.8%,2.6%,2.7%,3.0%,3.0%,2.7%,2.1%,2.1%,2.0%
98101,10.0%,10.1%,9.4%,9.8%,9.4%,8.5%,10.6%,11.0%,13.1%,14.2%
98102,7.6%,7.9%,9.3%,8.0%,8.1%,8.7%,8.5%,8.2%,9.2%,8.4%
98103,3.5%,3.7%,5.0%,4.9%,5.1%,5.8%,6.2%,5.8%,6.0%,5.8%
98104,7.2%,6.2%,5.8%,5.5%,6.5%,5.6%,6.0%,6.8%,6.9%,7.0%
98105,7.2%,6.9%,6.7%,7.0%,6.8%,6.6%,7.1%,8.3%,8.4%,8.8%
98106,3.4%,4.1%,3.9%,4.1%,4.5%,3.7%,3.3%,3.5%,3.6%,4.8%
98107,5.5%,4.8%,5.1%,5.5%,4.9%,3.7%,4.3%,5.7%,5.4%,6.2%
98108,1.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.4%,1.4%,1.2%,0.8%
98109,9.3%,9.5%,9.3%,10.0%,10.9%,10.3%,10.0%,11.3%,11.8%,12.1%
98112,4.5%,5.1%,4.5%,4.1%,5.4%,5.5%,5.3%,4.8%,5.3%,3.8%
98115,2.8%,2.6%,3.0%,3.2%,3.6%,3.5%,3.8%,3.6%,3.9%,3.8%
98116,3.2%,3.5%,4.5%,4.3%,5.4%,5.2%,5.1%,4.8%,4.4%,5.5%
98117,1.5%,1.1%,1.4%,1.5%,1.3%,1.6%,1.9%,2.0%,2.0%,1.9%
98118,2.3%,2.0%,2.2%,1.7%,1.9%,2.3%,2.3%,2.3%,2.6%,2.7%
98119,8.4%,7.6%,8.3%,9.7%,8.9%,9.7%,10.2%,8.9%,7.6%,7.2%
98121,10.9%,15.8%,13.9%,15.4%,16.6%,18.7%,16.4%,17.6%,17.7%,17.1%
98122,6.9%,7.7%,7.5%,7.5%,8.0%,9.1%,8.1%,8.3%,8.6%,9.4%
98125,3.3%,3.1%,2.6%,2.4%,2.7%,2.7%,3.1%,3.4%,2.7%,3.1%
98126,1.7%,1.8%,2.0%,2.2%,2.5%,3.6%,3.4%,3.2%,3.0%,3.6%
98133,2.8%,2.7%,2.4%,2.7%,2.6%,3.1%,3.2%,3.7%,3.8%,3.7%
98134,4.9%,9.5%,11.9%,8.0%,20.7%,16.8%,15.0%,12.9%,9.4%,5.3%
98136,5.8%,4.1%,4.1%,3.3%,2.3%,0.9%,1.3%,1.5%,1.7%,1.9%
98144,3.3%,3.4%,3.2%,2.5%,2.1%,2.5%,2.7%,2.3%,2.7%,3.7%
98146,4.0%,3.3%,3.0%,2.8%,1.8%,2.4%,2.1%,2.2%,1.9%,1.5%
98148,1.6%,1.5%,2.5%,3.1%,3.0%,3.1%,2.7%,3.5%,3.7%,4.7%
