zipcode,year,mobility
98001,2011,0.066
98001,2012,0.062
98001,2013,0.067
98001,2014,0.054000000000000006
98001,2015,0.063
98001,2016,0.073
98001,2017,0.081
98001,2018,0.07400000000000001
98001,2019,0.08
98001,2020,0.07400000000000001
98001,2021,0.0838
98001,2022,0.0871
98002,2011,0.153
98002,2012,0.163
98002,2013,0.161
98002,2014,0.13699999999999998
98002,2015,0.12
98002,2016,0.11800000000000001
98002,2017,0.11
98002,2018,0.11199999999999999
98002,2019,0.131
98002,2020,0.139
98002,2021,0.15
98002,2022,0.169
98003,2011,0.161
98003,2012,0.158
98003,2013,0.14400000000000002
98003,2014,0.142
98003,2015,0.11800000000000001
98003,2016,0.102
98003,2017,0.11199999999999999
98003,2018,0.11699999999999999
98003,2019,0.11900000000000001
98003,2020,0.111
98003,2021,0.1138
98003,2022,0.1086
98004,2011,0.147
98004,2012,0.151
98004,2013,0.151
98004,2014,0.153
98004,2015,0.142
98004,2016,0.139
98004,2017,0.14
98004,2018,0.14400000000000002
98004,2019,0.14
98004,2020,0.14800000000000002
98004,2021,0.1389
98004,2022,0.1378
98005,2011,0.08800000000000001
98005,2012,0.099
98005,2013,0.115
98005,2014,0.109
98005,2015,0.111
98005,2016,0.136
98005,2017,0.113
98005,2018,0.114
98005,2019,0.132
98005,2020,0.11599999999999999
98005,2021,0.1332
98005,2022,0.1372
98006,2011,0.08199999999999999
98006,2012,0.081
98006,2013,0.062
98006,2014,0.068
98006,2015,0.076
98006,2016,0.07400000000000001
98006,2017,0.07400000000000001
98006,2018,0.085
98006,2019,0.083
98006,2020,0.087
98006,2021,0.0832
98006,2022,0.0835
98007,2011,0.156
98007,2012,0.165
98007,2013,0.172
98007,2014,0.17600000000000002
98007,2015,0.163
98007,2016,0.16399999999999998
98007,2017,0.154
98007,2018,0.153
98007,2019,0.154
98007,2020,0.163
98007,2021,0.1516
98007,2022,0.1501
98008,2011,0.098
98008,2012,0.096
98008,2013,0.091
98008,2014,0.081
98008,2015,0.078
98008,2016,0.087
98008,2017,0.09
98008,2018,0.075
98008,2019,0.096
98008,2020,0.11
98008,2021,0.0824
98008,2022,0.0813
98010,2011,0.024
98010,2012,0.035
98010,2013,0.048
98010,2014,0.045
98010,2015,0.051
98010,2016,0.045
98010,2017,0.035
98010,2018,0.054000000000000006
98010,2019,0.092
98010,2020,0.124
98010,2021,0.1004
98010,2022,0.1088
98011,2011,0.07200000000000001
98011,2012,0.077
98011,2013,0.091
98011,2014,0.098
98011,2015,0.102
98011,2016,0.1
98011,2017,0.10300000000000001
98011,2018,0.10099999999999999
98011,2019,0.09
98011,2020,0.095
98011,2021,0.081
98011,2022,0.0719
98014,2011,0.075
98014,2012,0.044000000000000004
98014,2013,0.048
98014,2014,0.06
98014,2015,0.055999999999999994
98014,2016,0.054000000000000006
98014,2017,0.065
98014,2018,0.07200000000000001
98014,2019,0.05
98014,2020,0.055
98014,2021,0.0589
98014,2022,0.059
98019,2011,0.066
98019,2012,0.099
98019,2013,0.095
98019,2014,0.109
98019,2015,0.114
98019,2016,0.099
98019,2017,0.07400000000000001
98019,2018,0.066
98019,2019,0.075
98019,2020,0.062
98019,2021,0.0737
98019,2022,0.0766
98021,2011,0.054000000000000006
98021,2012,0.05
98021,2013,0.033
98021,2014,0.032
98021,2015,0.035
98021,2016,0.038
98021,2017,0.036000000000000004
98021,2018,0.038
98021,2019,0.04
98021,2020,0.034
98021,2021,0.0387
98021,2022,0.0373
98022,2011,0.08
98022,2012,0.091
98022,2013,0.08199999999999999
98022,2014,0.09300000000000001
98022,2015,0.086
98022,2016,0.083
98022,2017,0.07200000000000001
98022,2018,0.069
98022,2019,0.065
98022,2020,0.065
98022,2021,0.0585
98022,2022,0.0531
98023,2011,0.11900000000000001
98023,2012,0.12
98023,2013,0.128
98023,2014,0.12300000000000001
98023,2015,0.12
98023,2016,0.131
98023,2017,0.128
98023,2018,0.121
98023,2019,0.124
98023,2020,0.129
98023,2021,0.1264
98023,2022,0.1269
98024,2011,0.038
98024,2012,0.066
98024,2013,0.086
98024,2014,0.11
98024,2015,0.09699999999999999
98024,2016,0.096
98024,2017,0.059000000000000004
98024,2018,0.05
98024,2019,0.069
98024,2020,0.068
98024,2021,0.0701
98024,2022,0.0713
98027,2011,0.086
98027,2012,0.11699999999999999
98027,2013,0.114
98027,2014,0.122
98027,2015,0.113
98027,2016,0.107
98027,2017,0.084
98027,2018,0.086
98027,2019,0.087
98027,2020,0.099
98027,2021,0.0829
98027,2022,0.082
98028,2011,0.08800000000000001
98028,2012,0.081
98028,2013,0.081
98028,2014,0.079
98028,2015,0.077
98028,2016,0.078
98028,2017,0.078
98028,2018,0.083
98028,2019,0.086
98028,2020,0.076
98028,2021,0.0895
98028,2022,0.0932
98029,2011,0.094
98029,2012,0.105
98029,2013,0.095
98029,2014,0.099
98029,2015,0.102
98029,2016,0.113
98029,2017,0.102
98029,2018,0.10800000000000001
98029,2019,0.102
98029,2020,0.107
98029,2021,0.1077
98029,2022,0.1088
98030,2011,0.133
98030,2012,0.121
98030,2013,0.115
98030,2014,0.121
98030,2015,0.10400000000000001
98030,2016,0.105
98030,2017,0.10300000000000001
98030,2018,0.105
98030,2019,0.11800000000000001
98030,2020,0.111
98030,2021,0.1185
98030,2022,0.1245
98031,2011,0.129
98031,2012,0.12300000000000001
98031,2013,0.133
98031,2014,0.11599999999999999
98031,2015,0.10800000000000001
98031,2016,0.113
98031,2017,0.114
98031,2018,0.111
98031,2019,0.106
98031,2020,0.098
98031,2021,0.1038
98031,2022,0.1015
98032,2011,0.154
98032,2012,0.147
98032,2013,0.141
98032,2014,0.14400000000000002
98032,2015,0.149
98032,2016,0.126
98032,2017,0.13
98032,2018,0.142
98032,2019,0.154
98032,2020,0.163
98032,2021,0.1564
98032,2022,0.1589
98033,2011,0.135
98033,2012,0.126
98033,2013,0.126
98033,2014,0.111
98033,2015,0.11599999999999999
98033,2016,0.1
98033,2017,0.11
98033,2018,0.11900000000000001
98033,2019,0.114
98033,2020,0.1
98033,2021,0.1165
98033,2022,0.1193
98034,2011,0.1
98034,2012,0.1
98034,2013,0.12
98034,2014,0.13
98034,2015,0.127
98034,2016,0.12
98034,2017,0.12300000000000001
98034,2018,0.115
98034,2019,0.11599999999999999
98034,2020,0.10099999999999999
98034,2021,0.118
98034,2022,0.12
98038,2011,0.084
98038,2012,0.084
98038,2013,0.086
98038,2014,0.095
98038,2015,0.09300000000000001
98038,2016,0.091
