Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98001,1.6%,1.0%,1.2%,1.4%,1.8%,1.6%,2.1%,2.5%,2.7%,2.2%
98002,3.8%,3.4%,3.5%,3.6%,2.8%,2.4%,1.9%,1.8%,2.2%,1.9%
98003,2.7%,3.1%,3.2%,2.8%,3.1%,3.4%,2.7%,2.1%,2.3%,2.7%
98004,2.2%,2.4%,2.2%,1.2%,1.1%,1.0%,1.1%,1.0%,1.0%,1.0%
98005,1.6%,1.5%,1.5%,2.3%,1.7%,1.5%,1.3%,0.9%,0.3%,0.4%
98006,0.5%,0.8%,1.0%,0.7%,0.7%,0.8%,0.5%,0.3%,0.3%,0.2%
98007,2.4%,1.7%,1.5%,1.3%,0.8%,0.8%,0.5%,0.4%,0.5%,0.6%
98008,2.2%,1.6%,1.8%,1.2%,0.9%,0.8%,0.8%,1.0%,0.7%,0.8%
98010,0.9%,1.1%,1.2%,1.1%,0.4%,0.9%,1.6%,2.2%,2.5%,2.8%
98011,3.6%,3.5%,3.4%,3.4%,3.6%,4.3%,4.7%,4.4%,4.2%,3.5%
98014,1.4%,1.5%,1.4%,1.1%,1.6%,1.2%,1.6%,1.5%,1.7%,1.2%
98019,1.0%,0.9%,0.9%,0.2%,0.1%,0.0%,0.4%,1.0%,3.1%,3.9%
98021,6.3%,5.6%,6.2%,7.3%,5.6%,5.6%,5.9%,6.1%,5.4%,6.0%
98022,2.5%,4.0%,3.5%,3.9%,4.0%,4.4%,3.2%,4.4%,3.9%,3.6%
98023,4.0%,3.5%,4.0%,3.8%,3.7%,3.2%,3.1%,2.9%,3.1%,3.1%
98024,2.2%,2.6%,0.7%,1.7%,1.8%,2.2%,2.7%,2.4%,1.3%,1.5%
98027,1.1%,1.3%,1.3%,1.2%,0.8%,0.8%,0.8%,0.7%,1.0%,1.0%
98028,2.5%,2.1%,2.0%,2.4%,1.5%,1.5%,1.6%,2.4%,2.2%,2.0%
98029,1.0%,1.1%,0.8%,0.9%,0.9%,1.2%,1.0%,1.0%,0.8%,0.9%
98030,2.1%,1.8%,1.5%,1.8%,1.3%,1.6%,2.0%,1.7%,1.3%,0.9%
98031,1.5%,1.9%,1.4%,1.4%,1.8%,1.5%,1.3%,1.4%,1.2%,1.2%
98032,3.5%,3.6%,3.3%,3.1%,3.3%,2.7%,3.5%,4.1%,3.3%,2.8%
98033,2.2%,2.2%,1.7%,1.7%,2.0%,2.3%,2.5%,2.8%,2.9%,2.5%
98034,3.2%,3.3%,2.8%,2.7%,1.9%,2.5%,2.4%,2.4%,2.2%,2.0%
98038,1.0%,0.7%,0.9%,0.7%,0.8%,0.8%,0.8%,1.0%,1.1%,0.7%
98039,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.3%,0.4%
98040,0.6%,0.4%,0.4%,0.3%,0.3%,0.2%,0.3%,0.3%,0.9%,0.8%
98042,1.5%,1.7%,1.6%,1.7%,1.4%,1.3%,1.3%,1.9%,1.8%,1.5%
98043,5.8%,6.1%,5.1%,5.7%,5.0%,6.0%,6.3%,7.5%,7.9%,7.6%
98045,0.2%,0.2%,0.1%,0.1%,0.6%,0.5%,0.7%,0.8%,0.9%,0.5%
98047,2.1%,3.1%,3.6%,3.3%,4.6%,5.1%,4.9%,7.4%,5.8%,1.1%
98050,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98051,1.6%,2.1%,1.9%,3.1%,2.3%,2.3%,1.4%,1.2%,0.4%,1.0%
98052,1.5%,1.6%,1.7%,1.7%,0.9%,1.2%,1.4%,1.6%,1.4%,1.8%
98053,0.8%,1.0%,1.2%,1.6%,2.1%,1.8%,1.9%,2.0%,1.4%,1.0%
98055,1.7%,1.8%,1.6%,1.9%,1.8%,1.9%,2.6%,2.7%,2.9%,2.3%
98056,2.2%,1.6%,1.6%,1.7%,1.7%,1.7%,1.7%,1.6%,1.3%,1.5%
98057,1.6%,1.5%,1.9%,2.7%,2.5%,2.4%,2.5%,2.2%,1.8%,2.2%
98058,1.7%,1.8%,1.4%,1.4%,1.2%,1.2%,1.2%,1.3%,1.3%,1.3%
98059,1.4%,1.2%,1.3%,1.5%,1.3%,1.6%,1.5%,1.5%,1.2%,1.3%
98065,2.1%,2.3%,3.1%,3.5%,3.5%,2.5%,2.3%,2.7%,1.6%,1.3%
98068,18.8%,21.8%,20.5%,5.8%,5.8%,19.9%,25.6%,20.9%,17.6%,13.7%
98070,1.7%,1.1%,1.0%,0.4%,0.4%,0.3%,0.2%,0.7%,0.8%,0.8%
98072,1.6%,1.6%,1.4%,1.7%,2.1%,1.7%,2.2%,2.7%,2.5%,2.2%
98074,0.1%,0.1%,0.1%,0.1%,0.7%,0.6%,0.6%,0.6%,1.1%,0.7%
98075,0.9%,0.9%,1.0%,0.9%,0.8%,0.1%,0.1%,0.0%,0.0%,0.1%
98077,0.6%,0.4%,0.5%,0.5%,0.9%,1.2%,1.4%,2.1%,2.9%,2.0%
98092,3.6%,2.7%,2.1%,2.4%,2.4%,2.7%,4.5%,4.8%,4.7%,4.9%
98101,1.1%,1.5%,1.6%,1.9%,1.4%,1.9%,1.5%,1.3%,1.1%,0.9%
98102,1.7%,1.5%,1.6%,1.6%,1.1%,1.2%,1.3%,1.4%,1.4%,1.1%
98103,1.9%,1.8%,1.4%,1.9%,1.9%,2.0%,2.2%,2.3%,1.8%,1.9%
98104,5.4%,4.2%,3.2%,3.4%,2.7%,2.5%,3.3%,4.1%,4.1%,4.3%
98105,7.9%,7.3%,7.7%,6.9%,7.0%,6.3%,6.3%,5.6%,6.2%,6.2%
98106,2.0%,2.5%,1.7%,1.5%,1.1%,1.2%,0.9%,0.9%,1.2%,1.9%
98107,1.5%,2.0%,1.7%,2.2%,2.1%,2.1%,1.7%,1.5%,1.2%,1.5%
98108,0.7%,0.9%,1.0%,1.0%,1.2%,1.0%,0.9%,0.7%,0.6%,0.8%
98109,2.5%,2.7%,3.0%,2.8%,2.6%,3.1%,2.9%,2.8%,2.3%,1.8%
98112,1.5%,1.3%,1.3%,1.0%,0.9%,0.8%,0.8%,0.8%,0.8%,0.7%
98115,1.7%,1.4%,1.4%,1.7%,1.6%,1.4%,1.6%,1.8%,1.6%,1.9%
