zipcode,year,mobility
98001,2011,0.016
98001,2012,0.01
98001,2013,0.012
98001,2014,0.013999999999999999
98001,2015,0.018000000000000002
98001,2016,0.016
98001,2017,0.021
98001,2018,0.025
98001,2019,0.027000000000000003
98001,2020,0.022000000000000002
98001,2021,0.0304
98001,2022,0.0335
98002,2011,0.038
98002,2012,0.034
98002,2013,0.035
98002,2014,0.036000000000000004
98002,2015,0.027999999999999997
98002,2016,0.024
98002,2017,0.019
98002,2018,0.018000000000000002
98002,2019,0.022000000000000002
98002,2020,0.019
98002,2021,0.0202
98002,2022,0.0183
98003,2011,0.027000000000000003
98003,2012,0.031
98003,2013,0.032
98003,2014,0.027999999999999997
98003,2015,0.031
98003,2016,0.034
98003,2017,0.027000000000000003
98003,2018,0.021
98003,2019,0.023
98003,2020,0.027000000000000003
98003,2021,0.0192
98003,2022,0.0163
98004,2011,0.022000000000000002
98004,2012,0.024
98004,2013,0.022000000000000002
98004,2014,0.012
98004,2015,0.011000000000000001
98004,2016,0.01
98004,2017,0.011000000000000001
98004,2018,0.01
98004,2019,0.01
98004,2020,0.01
98004,2021,0.0092
98004,2022,0.0083
98005,2011,0.016
98005,2012,0.015
98005,2013,0.015
98005,2014,0.023
98005,2015,0.017
98005,2016,0.015
98005,2017,0.013000000000000001
98005,2018,0.009000000000000001
98005,2019,0.003
98005,2020,0.004
98005,2021,0.0019
98005,2022,0.0003
98006,2011,0.005
98006,2012,0.008
98006,2013,0.01
98006,2014,0.006999999999999999
98006,2015,0.006999999999999999
98006,2016,0.008
98006,2017,0.005
98006,2018,0.003
98006,2019,0.003
98006,2020,0.002
98006,2021,0.0012
98006,2022,-0.0001
98007,2011,0.024
98007,2012,0.017
98007,2013,0.015
98007,2014,0.013000000000000001
98007,2015,0.008
98007,2016,0.008
98007,2017,0.005
98007,2018,0.004
98007,2019,0.005
98007,2020,0.006
98007,2021,0.0037
98007,2022,0.0035
98008,2011,0.022000000000000002
98008,2012,0.016
98008,2013,0.018000000000000002
98008,2014,0.012
98008,2015,0.009000000000000001
98008,2016,0.008
98008,2017,0.008
98008,2018,0.01
98008,2019,0.006999999999999999
98008,2020,0.008
98008,2021,0.0074
98008,2022,0.0072
98010,2011,0.009000000000000001
98010,2012,0.011000000000000001
98010,2013,0.012
98010,2014,0.011000000000000001
98010,2015,0.004
98010,2016,0.009000000000000001
98010,2017,0.016
98010,2018,0.022000000000000002
98010,2019,0.025
98010,2020,0.027999999999999997
98010,2021,0.027
98010,2022,0.0289
98011,2011,0.036000000000000004
98011,2012,0.035
98011,2013,0.034
98011,2014,0.034
98011,2015,0.036000000000000004
98011,2016,0.043
98011,2017,0.047
98011,2018,0.044000000000000004
98011,2019,0.042
98011,2020,0.035
98011,2021,0.04
98011,2022,0.0379
98014,2011,0.013999999999999999
98014,2012,0.015
98014,2013,0.013999999999999999
98014,2014,0.011000000000000001
98014,2015,0.016
98014,2016,0.012
98014,2017,0.016
98014,2018,0.015
98014,2019,0.017
98014,2020,0.012
98014,2021,0.0163
98014,2022,0.0167
98019,2011,0.01
98019,2012,0.009000000000000001
98019,2013,0.009000000000000001
98019,2014,0.002
98019,2015,0.001
98019,2016,0.0
98019,2017,0.004
98019,2018,0.01
98019,2019,0.031
98019,2020,0.039
98019,2021,0.0498
98019,2022,0.0694
98021,2011,0.063
98021,2012,0.055999999999999994
98021,2013,0.062
98021,2014,0.073
98021,2015,0.055999999999999994
98021,2016,0.055999999999999994
98021,2017,0.059000000000000004
98021,2018,0.061
98021,2019,0.054000000000000006
98021,2020,0.06
98021,2021,0.0547
98021,2022,0.0534
98022,2011,0.025
98022,2012,0.04
98022,2013,0.035
98022,2014,0.039
98022,2015,0.04
98022,2016,0.044000000000000004
98022,2017,0.032
98022,2018,0.044000000000000004
98022,2019,0.039
98022,2020,0.036000000000000004
98022,2021,0.0432
98022,2022,0.0443
98023,2011,0.04
98023,2012,0.035
98023,2013,0.04
98023,2014,0.038
98023,2015,0.037000000000000005
98023,2016,0.032
98023,2017,0.031
98023,2018,0.028999999999999998
98023,2019,0.031
98023,2020,0.031
98023,2021,0.0297
98023,2022,0.029
98024,2011,0.022000000000000002
98024,2012,0.026000000000000002
98024,2013,0.006999999999999999
98024,2014,0.017
98024,2015,0.018000000000000002
98024,2016,0.022000000000000002
98024,2017,0.027000000000000003
98024,2018,0.024
98024,2019,0.013000000000000001
98024,2020,0.015
98024,2021,0.0162
98024,2022,0.0154
98027,2011,0.011000000000000001
98027,2012,0.013000000000000001
98027,2013,0.013000000000000001
98027,2014,0.012
98027,2015,0.008
98027,2016,0.008
98027,2017,0.008
98027,2018,0.006999999999999999
98027,2019,0.01
98027,2020,0.01
98027,2021,0.0111
98027,2022,0.0128
98028,2011,0.025
98028,2012,0.021
98028,2013,0.02
98028,2014,0.024
98028,2015,0.015
98028,2016,0.015
98028,2017,0.016
98028,2018,0.024
98028,2019,0.022000000000000002
98028,2020,0.02
98028,2021,0.0232
98028,2022,0.0252
98029,2011,0.01
98029,2012,0.011000000000000001
98029,2013,0.008
98029,2014,0.009000000000000001
98029,2015,0.009000000000000001
98029,2016,0.012
98029,2017,0.01
98029,2018,0.01
98029,2019,0.008
98029,2020,0.009000000000000001
98029,2021,0.0084
98029,2022,0.0081
98030,2011,0.021
98030,2012,0.018000000000000002
98030,2013,0.015
98030,2014,0.018000000000000002
98030,2015,0.013000000000000001
98030,2016,0.016
98030,2017,0.02
98030,2018,0.017
98030,2019,0.013000000000000001
98030,2020,0.009000000000000001
98030,2021,0.015
98030,2022,0.0145
98031,2011,0.015
98031,2012,0.019
98031,2013,0.013999999999999999
98031,2014,0.013999999999999999
98031,2015,0.018000000000000002
98031,2016,0.015
98031,2017,0.013000000000000001
98031,2018,0.013999999999999999
98031,2019,0.012
98031,2020,0.012
98031,2021,0.0113
98031,2022,0.0103
98032,2011,0.035
98032,2012,0.036000000000000004
98032,2013,0.033
98032,2014,0.031
98032,2015,0.033
98032,2016,0.027000000000000003
98032,2017,0.035
98032,2018,0.040999999999999995
98032,2019,0.033
98032,2020,0.027999999999999997
98032,2021,0.0349
98032,2022,0.035
98033,2011,0.022000000000000002
98033,2012,0.022000000000000002
98033,2013,0.017
98033,2014,0.017
98033,2015,0.02
98033,2016,0.023
98033,2017,0.025
98033,2018,0.027999999999999997
98033,2019,0.028999999999999998
98033,2020,0.025
98033,2021,0.0306
98033,2022,0.0322
98034,2011,0.032
98034,2012,0.033
98034,2013,0.027999999999999997
98034,2014,0.027000000000000003
98034,2015,0.019
98034,2016,0.025
98034,2017,0.024
98034,2018,0.024
98034,2019,0.022000000000000002
98034,2020,0.02
98034,2021,0.021
98034,2022,0.0199
98038,2011,0.01
98038,2012,0.006999999999999999
98038,2013,0.009000000000000001
98038,2014,0.006999999999999999
98038,2015,0.008
98038,2016,0.008
98038,2017,0.008
98038,2018,0.01
98038,2019,0.011000000000000001
98038,2020,0.006999999999999999
98038,2021,0.0121
98038,2022,0.0134
98039,2011,0.002
98039,2012,0.0
98039,2013,0.0
98039,2014,0.0
98039,2015,0.0
98039,2016,0.0
98039,2017,0.002
98039,2018,0.002
98039,2019,0.003
98039,2020,0.004
98039,2021,0.0038
98039,2022,0.0047
98040,2011,0.006
98040,2012,0.004
98040,2013,0.004
98040,2014,0.003
98040,2015,0.003
98040,2016,0.002
98040,2017,0.003
98040,2018,0.003
98040,2019,0.009000000000000001
98040,2020,0.008
98040,2021,0.0112
98040,2022,0.0148
98042,2011,0.015
98042,2012,0.017
98042,2013,0.016
98042,2014,0.017
98042,2015,0.013999999999999999
98042,2016,0.013000000000000001
98042,2017,0.013000000000000001
98042,2018,0.019
98042,2019,0.018000000000000002
98042,2020,0.015
98042,2021,0.0186
98042,2022,0.0191
98043,2011,0.057999999999999996
98043,2012,0.061
98043,2013,0.051
98043,2014,0.057
98043,2015,0.05
98043,2016,0.06
98043,2017,0.063
98043,2018,0.075
98043,2019,0.079
98043,2020,0.076
98043,2021,0.0811
98043,2022,0.0837
98045,2011,0.002
98045,2012,0.002
98045,2013,0.001
98045,2014,0.001
98045,2015,0.006
98045,2016,0.005
98045,2017,0.006999999999999999
98045,2018,0.008
98045,2019,0.009000000000000001
98045,2020,0.005
98045,2021,0.0102
98045,2022,0.0114
98047,2011,0.021
98047,2012,0.031
98047,2013,0.036000000000000004
98047,2014,0.033
98047,2015,0.046
98047,2016,0.051
98047,2017,0.049
98047,2018,0.07400000000000001
98047,2019,0.057999999999999996
98047,2020,0.011000000000000001
98047,2021,0.0709
98047,2022,0.0762
98050,2011,0.0
98050,2012,0.0
98050,2013,0.0
98050,2014,0.0
98050,2015,0.0
98050,2016,0.0
98050,2017,0.0
98050,2018,0.0
98050,2019,0.0
98050,2020,0.0
