,Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,78602,0.023,0.027999999999999997,0.025,0.017,0.018000000000000002,0.018000000000000002,0.017,0.012,0.013000000000000001,0.012,0.013,0.013
1,78612,0.015,0.012,0.016,0.016,0.015,0.012,0.008,0.006999999999999999,0.019,0.031,0.019,0.019
2,78616,0.018000000000000002,0.016,0.002,0.0,0.019,0.019,0.018000000000000002,0.019,0.019,0.006,0.019,0.019
3,78617,0.006999999999999999,0.005,0.006,0.003,0.004,0.002,0.011000000000000001,0.02,0.023,0.026000000000000002,0.023,0.023
4,78621,0.006999999999999999,0.01,0.006,0.009000000000000001,0.006999999999999999,0.006999999999999999,0.015,0.015,0.013999999999999999,0.013999999999999999,0.014,0.014
5,78650,0.0,0.004,0.005,0.004,0.005,0.013999999999999999,0.01,0.059000000000000004,0.048,0.09,0.048,0.048
6,78659,0.013999999999999999,0.001,0.01,0.006999999999999999,0.005,0.006999999999999999,0.008,0.0,0.0,0.0,0.0,0.0
7,78662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,78941,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.004,0.005,0.005,0.005,0.005
9,78942,0.019,0.02,0.01,0.009000000000000001,0.013000000000000001,0.012,0.006999999999999999,0.005,0.012,0.005,0.012,0.012
10,78945,0.012,0.013000000000000001,0.011000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.003,0.002,0.002
11,78953,0.09,0.063,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,78957,0.015,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.006,0.005,0.01,0.01,0.015,0.013999999999999999,0.015,0.015
13,78959,0.0,0.0,0.0,0.0,0.005,0.005,0.002,0.005,0.005,0.003,0.005,0.005
14,76527,0.0,0.002,0.004,0.004,0.006999999999999999,0.016,0.016,0.019,0.021,0.012,0.021,0.021
15,76539,0.027999999999999997,0.02,0.015,0.012,0.017,0.033,0.036000000000000004,0.038,0.034,0.03,0.034,0.034
16,76542,0.09300000000000001,0.083,0.087,0.08199999999999999,0.079,0.061,0.065,0.067,0.07,0.057,0.07,0.07
17,76549,0.115,0.11,0.114,0.114,0.113,0.08199999999999999,0.083,0.078,0.08,0.08199999999999999,0.08,0.08
18,76550,0.006999999999999999,0.008,0.008,0.006,0.01,0.012,0.012,0.012,0.009000000000000001,0.005,0.009,0.009
19,78605,0.001,0.001,0.001,0.005,0.005,0.004,0.004,0.005,0.001,0.002,0.001,0.001
20,78608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,78609,0.02,0.015,0.008,0.006,0.001,0.008,0.017,0.027000000000000003,0.02,0.013000000000000001,0.02,0.02
22,78611,0.016,0.022000000000000002,0.011000000000000001,0.009000000000000001,0.011000000000000001,0.016,0.02,0.021,0.02,0.021,0.02,0.02
23,78639,0.011000000000000001,0.028999999999999998,0.028999999999999998,0.02,0.023,0.017,0.0,0.0,0.0,0.004,0.0,0.0
24,78642,0.048,0.024,0.013000000000000001,0.005,0.006999999999999999,0.017,0.017,0.019,0.019,0.015,0.019,0.019
25,78654,0.013000000000000001,0.012,0.013000000000000001,0.008,0.006,0.006,0.004,0.004,0.006,0.006,0.006,0.006
26,78657,0.018000000000000002,0.012,0.013999999999999999,0.013999999999999999,0.006999999999999999,0.013999999999999999,0.019,0.019,0.021,0.013000000000000001,0.021,0.021
27,78669,0.027000000000000003,0.018000000000000002,0.017,0.017,0.004,0.01,0.022000000000000002,0.023,0.019,0.031,0.019,0.019
