,Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,78602,0.003,0.003,0.002,0.001,0.002,0.003,0.003,0.003,0.004,0.001,0.004,0.004
1,78612,0.0,0.0,0.0,0.012,0.016,0.011000000000000001,0.008,0.003,0.0,0.0,0.0,0.0
2,78616,0.0,0.0,0.0,0.0,0.0,0.015,0.013999999999999999,0.018000000000000002,0.022000000000000002,0.018000000000000002,0.022,0.022
3,78617,0.004,0.006,0.006,0.005,0.005,0.003,0.001,0.001,0.001,0.002,0.001,0.001
4,78621,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.001,0.001,0.0,0.001,0.001
5,78650,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.002,0.002,0.002,0.002,0.002
6,78659,0.001,0.001,0.002,0.005,0.005,0.013000000000000001,0.012,0.013000000000000001,0.005,0.006999999999999999,0.005,0.005
7,78662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,78941,0.016,0.016,0.003,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,78942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001
10,78945,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,78953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,78957,0.004,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.004,0.006999999999999999,0.004,0.004
13,78959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.003
14,76527,0.001,0.0,0.01,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006,0.0,0.0,0.0,0.0,0.0
15,76539,0.008,0.005,0.004,0.001,0.001,0.001,0.0,0.0,0.003,0.005,0.003,0.003
16,76542,0.036000000000000004,0.035,0.03,0.02,0.018000000000000002,0.018000000000000002,0.015,0.013000000000000001,0.013000000000000001,0.01,0.013,0.013
17,76549,0.049,0.037000000000000005,0.031,0.02,0.012,0.01,0.013999999999999999,0.013999999999999999,0.016,0.013000000000000001,0.016,0.016
18,76550,0.003,0.004,0.006,0.004,0.006,0.005,0.005,0.0,0.0,0.002,0.0,0.0
19,78605,0.0,0.0,0.005,0.002,0.003,0.004,0.006,0.004,0.004,0.004,0.004,0.004
20,78608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,78609,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,78611,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.0,0.003,0.003,0.003,0.003
23,78639,0.0,0.0,0.001,0.002,0.003,0.002,0.003,0.0,0.0,0.0,0.0,0.0
24,78642,0.002,0.0,0.0,0.0,0.003,0.002,0.003,0.004,0.004,0.006999999999999999,0.004,0.004
25,78654,0.002,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.005,0.006,0.005,0.005
26,78657,0.001,0.001,0.0,0.0,0.0,0.0,0.005,0.005,0.004,0.003,0.004,0.004
27,78669,0.0,0.004,0.006,0.008,0.006,0.006999999999999999,0.001,0.001,0.0,0.0,0.0,0.0
28,78610,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.0,0.001,0.001
29,78622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,78632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,78640,0.002,0.003,0.002,0.006,0.006999999999999999,0.006999999999999999,0.006,0.008,0.003,0.002,0.003,0.003
32,78644,0.003,0.008,0.008,0.006,0.006,0.006,0.002,0.002,0.002,0.002,0.002,0.002
