ZipCode,Beds,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90055,5~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,
90333,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675000.0,,
90838,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809900.0,,
90855,3~4,,,,,,,,,,,,,,,,,,,,,,,,294950.0,,,,,,,,,,,,,,,,,
95055,3~4,,,,,,,,,,,,,,,,,,,,,,,,274950.0,,,,,,,,,,,,,,,,,
95059,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000.0,,,
95125,5~,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,750000.0,,,,,,,,,
98000,3~4,,,,,,,211000.0,,,124999.0,409000.0,364950.0,369950.0,533000.0,401250.0,394950.0,585000.0,447475.0,520000.0,,,,665000.0,477250.0,,377475.0,,675000.0,599950.0,663700.0,384000.0,555000.0,753000.5,606000.0,831000.0,,1245273.0,,,2200000.0,
98000,5~,,,,,,189000.0,,,,,,,,,585000.0,,,,,,,,,1410000.0,,,,1100000.0,,,,,,715000.0,,,,,1750000.0,,
98001,0~2,55000.0,29750.0,60475.0,69500.0,57500.0,56900.0,56000.0,60000.0,60000.0,140226.0,80500.0,105000.0,105000.0,103725.0,112725.0,108600.0,110000.0,118800.0,139950.0,142950.0,138000.0,161000.0,166000.0,187225.0,242850.0,256000.0,200000.0,172500.0,185000.0,166500.0,142000.0,149950.0,175750.0,163500.0,225000.0,244800.0,277500.0,288000.0,301000.0,422750.0,475000.0
98001,3~4,69950.0,72990.0,71000.0,75470.0,77000.0,79000.0,95000.0,105000.0,117697.5,119077.0,118000.0,125000.0,125890.0,129950.0,134500.0,140000.0,147000.0,159500.0,176500.0,197000.0,195500.0,207250.0,239450.0,272975.0,314000.0,327500.0,283834.0,240000.0,235000.0,200000.0,204000.0,226500.0,237000.0,279000.0,297500.0,337000.0,380000.0,385000.0,430000.0,530000.0,600000.0
98001,5~,,52970.0,80995.0,88500.0,91325.0,111020.0,115462.5,93500.0,161450.0,118000.0,126500.0,119000.0,132950.0,123250.0,144950.0,147375.0,174900.0,189000.0,187950.0,219450.0,279950.0,288950.0,253475.0,329000.0,395950.0,425250.0,320000.0,355000.0,346450.0,228000.0,265000.0,273475.0,267500.0,310000.0,350000.0,415000.0,451500.0,471000.0,500000.0,655000.0,710000.0
98002,0~2,56475.0,49000.0,46475.0,45000.0,54600.0,53950.0,57450.0,57000.0,75000.0,79900.0,82750.0,82250.0,85000.0,83000.0,94000.0,92375.0,97950.0,115750.0,124500.0,131000.0,139500.0,145000.0,160200.0,183500.0,216000.0,237000.0,210000.0,159000.0,152000.0,96358.0,106000.0,142950.0,152000.0,166000.0,209500.0,200000.0,259000.0,280000.0,317500.0,356500.0,435500.0
98002,3~4,59300.0,63510.0,66000.0,65000.0,63000.0,70000.0,70250.0,80350.0,94500.0,110750.0,108500.0,105250.0,110500.0,114900.0,120000.0,126000.0,136000.0,148000.0,153450.0,165000.0,174950.0,176500.0,190000.0,232000.0,259950.0,267000.0,275000.0,227500.0,193550.0,163800.0,162000.0,184204.0,200000.0,224950.0,270000.0,300000.0,325000.0,339900.0,385000.0,455000.0,480000.0
98002,5~,76000.0,,53000.0,75250.0,71500.0,92500.0,79250.0,98000.0,122360.0,114975.0,121975.0,135950.0,140000.0,109500.0,134500.0,160250.0,153000.0,152000.0,172200.0,175500.0,219950.0,221000.0,212500.0,269950.0,299950.0,275000.0,277000.0,180000.0,250000.0,173000.0,164700.0,199950.0,230000.0,246000.0,303450.0,340000.0,319475.0,386000.0,469500.0,530000.0,557000.0
98003,0~2,61425.0,53000.0,72600.0,62950.0,75850.0,60400.0,73500.0,73500.0,92300.0,95500.0,113250.0,105000.0,107000.0,109950.0,113000.0,116875.0,129250.0,135000.0,135000.0,154000.0,163500.0,168475.0,185450.0,199500.0,245000.0,276250.0,225000.0,168150.0,158450.0,161500.0,141864.0,172000.0,189000.0,221950.0,195000.0,258500.0,292000.0,287875.0,347500.0,382500.0,451000.0
98003,3~4,68000.0,68850.0,74750.0,80032.5,77500.0,84500.0,91575.0,100575.0,116000.0,125000.0,132500.0,132500.0,139950.0,141950.0,145000.0,146000.0,156175.0,168500.0,180000.0,185500.0,199725.0,214500.0,230000.0,263475.0,300000.0,310000.0,288500.0,242500.0,225000.0,194950.0,188000.0,220281.0,240000.0,267000.0,293075.0,340000.0,364725.0,395250.0,436000.0,529500.0,560000.0
98003,5~,109750.0,,127500.0,134000.0,161250.0,98975.0,87750.0,117500.0,125394.0,132500.0,136750.0,125975.0,147000.0,138250.0,147250.0,155000.0,149975.0,194750.0,189888.0,199250.0,210000.0,229200.0,259950.0,291500.0,350000.0,334225.0,334000.0,279000.0,318500.0,199007.0,230000.0,250000.0,278000.0,305000.0,329975.0,401000.0,455000.0,465000.0,599995.0,610000.0,755000.0
98004,0~2,,74500.0,125000.0,112250.0,86500.0,89985.0,72750.0,227000.0,153750.0,278000.0,250000.0,162000.0,193475.0,189250.0,265000.0,334800.0,221400.0,295000.0,484500.0,289500.0,300000.0,487000.0,374875.0,500000.0,840000.0,690000.0,1241500.0,1480000.0,622000.0,588000.0,662000.0,600000.0,1065000.0,1625000.0,1533000.0,1156000.0,1187000.0,1325000.0,1733250.0,1800000.0,7000000.0
