ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90055,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,
90333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675000.0,,
90838,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809900.0,,
90855,3,,,,,,,,,,,,,,,,,,,,,,,,294950.0,,,,,,,,,,,,,,,,,
95055,3,,,,,,,,,,,,,,,,,,,,,,,,274950.0,,,,,,,,,,,,,,,,,
95059,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000.0,,,
95125,3,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,750000.0,,,,,,,,,
98000,3,,,,,,,211000.0,,,,188000.0,364950.0,369950.0,,476500.0,383500.0,585000.0,447475.0,520000.0,,,,665000.0,477250.0,,299950.0,,,,,384000.0,555000.0,753000.5,606000.0,831000.0,,1245273.0,,,,
98000,4,,,,,,189000.0,,,,,630000.0,,448475.0,533000.0,,394950.0,,,,,,,,1410000.0,,,,887500.0,599950.0,663700.0,,,,715000.0,,,,,1750000.0,2200000.0,
98000,5,,,,,,,,,,124999.0,,,,,,,,,,,,,,,,455000.0,,,,,,,,,,,,,,,
98001,1,,,,,,,,,,,,,130000.0,,,,,,,,,,,199950.0,,224976.0,,,,,,147925.0,132204.0,70712.5,,120000.0,,268000.0,200000.0,,
98001,2,62000.0,33500.0,,,74950.0,68386.5,81750.0,69500.0,103500.0,90000.0,87500.0,113500.0,102250.0,109950.0,103500.0,108500.0,151500.0,163450.0,182000.0,250000.0,,246000.0,104250.0,166500.0,286200.0,156209.5,462500.0,184000.0,,247500.0,,194000.0,,143391.0,185481.0,193000.0,286000.0,380000.0,258415.0,432000.0,363000.0
98001,3,67975.0,76000.0,73990.0,76950.0,81000.0,79250.0,99000.0,105000.0,124600.0,128000.0,121177.0,129000.0,128500.0,134000.0,139450.0,142000.0,154700.0,164450.0,188000.0,217000.0,210000.0,226000.0,248319.0,290000.0,349475.0,357650.0,307500.0,268725.0,250000.0,225000.0,215000.0,245000.0,252000.0,292250.0,319000.0,355000.0,400000.0,407500.0,445000.0,550000.0,605000.0
98001,4,70000.0,66475.0,66250.0,67500.0,75000.0,78000.0,85000.0,100750.0,108500.0,107975.0,115000.0,118500.0,114500.0,121250.0,125000.0,129000.0,133225.0,154800.0,165000.0,169625.0,173750.0,188750.0,199450.0,238500.0,266750.0,289950.0,258000.0,210000.0,210500.0,179000.0,188750.0,200000.0,220500.0,261150.0,295000.0,326000.0,355450.0,373975.0,422500.0,525000.0,542500.0
98001,5,43000.0,55328.0,59500.0,68925.0,69500.0,81425.0,89750.0,70000.0,110000.0,108950.0,99000.0,104875.0,121250.0,125500.0,127925.0,132000.0,139250.0,140000.0,148000.0,152450.0,190500.0,168000.0,195250.0,234374.0,274000.0,276250.0,229250.0,175000.0,201500.0,160280.0,179950.0,201497.0,215000.0,244750.0,257050.0,315000.0,354950.0,360000.0,417025.0,497999.5,580000.0
98002,1,,,35000.0,,,,,,,,,,,,,,,100000.0,,,,,190000.0,,260000.0,,,,142000.0,,,,,,,150000.0,,,190000.0,65000.0,
98002,2,,,,,,,,,,,,,,,,,,,,109000.0,,,,,,,,,,,,,,,,,190000.0,,175000.0,280000.0,
98002,3,57000.0,33000.0,51000.0,62300.0,58750.0,72000.0,69950.0,79700.0,98500.0,128750.0,112250.0,108000.0,111000.0,111000.0,146900.0,157000.0,154009.5,177179.0,168475.0,177783.0,198100.0,196250.0,206000.0,275000.0,279000.0,303800.0,306045.0,269950.0,237000.0,188000.0,166500.0,215000.0,238000.0,258000.0,285750.0,332000.0,350000.0,374625.0,455000.0,462000.0,475000.0
98002,4,62500.0,62000.0,62750.0,64500.0,60475.0,65500.0,67500.0,77657.5,87500.0,101750.0,101490.0,97350.0,105500.0,109000.0,112475.0,119225.0,124000.0,134900.0,144112.5,157250.0,167922.5,168495.0,185000.0,221350.0,247000.0,259499.5,237000.0,184500.0,169475.0,140000.0,160000.0,175000.0,192376.0,215000.0,249450.0,285500.0,300475.0,335000.0,365000.0,430000.0,480000.0
98002,5,60750.0,35000.0,42500.0,65500.0,66500.0,67000.0,66000.0,67900.0,100000.0,83947.5,105000.0,91227.0,105250.0,100950.0,115000.0,114000.0,122250.0,129950.0,144002.0,149910.5,158000.0,148900.0,180000.0,227500.0,239500.0,256500.0,240000.0,187000.0,204500.0,163800.0,147700.0,183000.0,186000.0,211000.0,258725.0,292000.0,317500.0,325000.0,380000.0,457450.0,420000.0
98003,1,,,,,,,,,,,157000.0,,,,,,,,,,,,,,,,,,,,,,,,81500.0,,,169000.0,,,
