ZipCode,TrafficNoise,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,
90333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675000.0,,
90838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809900.0,,
90855,0,,,,,,,,,,,,,,,,,,,,,,,,294950.0,,,,,,,,,,,,,,,,,
95055,0,,,,,,,,,,,,,,,,,,,,,,,,274950.0,,,,,,,,,,,,,,,,,
95059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000.0,,,
95125,0,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,750000.0,,,,,,,,,
98000,0,,,,,,189000.0,211000.0,,,124999.0,188000.0,364950.0,369950.0,,530750.0,405975.0,585000.0,466750.0,520000.0,,,,665000.0,460500.0,,377475.0,,675000.0,599950.0,,,555000.0,753000.5,660500.0,750000.0,,1245273.0,,,,
98000,1,,,,,,,,,,,,,205000.0,,326000.0,350000.0,,429950.0,,,,,,952000.0,,,,1100000.0,,,384000.0,,,,912000.0,,,,1750000.0,,
98000,2,,,,,,,,,,,630000.0,,533000.0,533000.0,,,,,,,,,,,,,,,,663700.0,,,,,,,,,,2200000.0,
98001,0,70000.0,72990.0,70900.0,75490.0,78000.0,78750.0,95500.0,101500.0,117895.0,119950.0,118850.0,124925.0,126000.0,129000.0,135000.0,140000.0,148500.0,160000.0,179000.0,197500.0,196000.0,211950.0,239000.0,275000.0,322750.0,326618.0,289563.5,246000.0,241359.0,205000.0,204000.0,229898.0,237197.0,279950.0,300271.5,342000.0,385000.0,390000.0,435000.0,531000.0,600000.0
98001,1,67500.0,79950.0,79950.0,56800.0,72000.0,107994.0,63950.0,81000.0,82500.0,123000.0,96750.0,98000.0,112000.0,120950.0,138450.0,114000.0,137000.0,140500.0,157000.0,169000.0,172450.0,180675.0,239000.0,235000.0,244990.0,345500.0,265000.0,210000.0,131000.0,174000.0,154000.0,210927.0,240950.0,215000.0,268299.0,310000.0,311000.0,379500.0,365000.0,513000.0,
98001,2,64075.0,34750.0,56250.0,60000.0,70795.0,55975.0,61500.0,86950.0,143150.0,108750.0,106475.0,110000.0,111500.0,128500.0,120500.0,118000.0,115638.0,138475.0,138000.0,151725.0,172000.0,182000.0,180000.0,260000.0,247450.0,299950.0,225500.0,174500.0,204375.0,155000.0,175000.0,180000.5,214957.0,194500.0,275000.0,243650.0,317500.0,307500.0,415000.0,565000.0,475000.0
