,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,median_sale_price
0,83536.0,135.360001,0.07200000000000001,0.013999999999999999,All Residential,0.045,0.001,0.059000000000000004,172810.0
1,83536.0,135.479996,0.07200000000000001,0.013999999999999999,All Residential,0.045,0.001,0.059000000000000004,177000.0
2,83536.0,140.78999299999995,0.07200000000000001,0.013999999999999999,All Residential,0.045,0.001,0.059000000000000004,184560.0
3,83536.0,142.1349945,0.07200000000000001,0.013999999999999999,All Residential,0.045,0.001,0.059000000000000004,176000.0
4,79049.0,151.4749985,0.079,0.012,All Residential,0.034,0.002,0.084,175568.0
5,79049.0,161.31999950000002,0.079,0.012,All Residential,0.034,0.002,0.084,198700.0
6,79049.0,168.589996,0.079,0.012,All Residential,0.034,0.002,0.084,193000.0
7,79049.0,178.120003,0.079,0.012,All Residential,0.034,0.002,0.084,193220.0
8,74550.0,184.179993,0.073,0.013999999999999999,All Residential,0.045,0.001,0.09699999999999999,199500.0
9,74550.0,188.880005,0.073,0.013999999999999999,All Residential,0.045,0.001,0.09699999999999999,223000.0
10,74550.0,197.8499985,0.073,0.013999999999999999,All Residential,0.045,0.001,0.09699999999999999,222500.0
11,74550.0,203.25,0.073,0.013999999999999999,All Residential,0.045,0.001,0.09699999999999999,231210.0
12,74250.0,206.100006,0.063,0.016,All Residential,0.044000000000000004,0.002,0.098,222250.0
13,74250.0,210.5,0.063,0.016,All Residential,0.044000000000000004,0.002,0.098,245700.0
14,74250.0,206.754997,0.063,0.016,All Residential,0.044000000000000004,0.002,0.098,243500.0
15,74250.0,205.774994,0.063,0.016,All Residential,0.044000000000000004,0.002,0.098,229000.0
16,75453.0,193.660004,0.06,0.018000000000000002,All Residential,0.032,0.002,0.105,242000.0
17,75453.0,207.8600005,0.06,0.018000000000000002,All Residential,0.032,0.002,0.105,251000.0
18,75453.0,216.6449965,0.06,0.018000000000000002,All Residential,0.032,0.002,0.105,245000.0
19,75453.0,217.869995,0.06,0.018000000000000002,All Residential,0.032,0.002,0.105,244750.0
