Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78602,6.9%,6.9%,8.0%,8.4%,8.7%,7.5%,6.6%,4.6%,4.3%,3.3%
78612,8.7%,8.9%,10.2%,12.6%,13.2%,12.1%,9.9%,5.9%,3.9%,5.9%
78616,7.4%,7.5%,7.0%,7.5%,8.2%,7.0%,7.0%,8.6%,6.1%,5.6%
78617,13.0%,15.1%,15.4%,15.0%,15.6%,7.9%,5.8%,6.1%,5.9%,5.5%
78621,6.2%,5.8%,7.3%,5.7%,5.0%,7.0%,7.3%,7.3%,7.0%,6.8%
78650,3.2%,3.3%,3.4%,4.4%,7.0%,8.9%,7.5%,11.3%,8.8%,11.6%
78659,9.0%,11.1%,11.9%,5.1%,4.9%,2.1%,1.3%,1.5%,1.3%,0.6%
78662,7.8%,5.0%,5.5%,5.9%,0.0%,0.0%,0.0%,0.0%,2.0%,1.2%
78941,3.3%,3.4%,3.5%,2.9%,1.8%,1.4%,1.3%,1.7%,2.8%,2.9%
78942,2.2%,3.4%,3.9%,6.5%,7.4%,8.5%,6.5%,4.0%,3.7%,3.3%
78945,3.3%,3.4%,3.5%,3.8%,2.5%,1.8%,1.5%,0.9%,3.5%,5.3%
78953,0.8%,7.9%,3.5%,3.0%,3.0%,4.5%,0.0%,5.0%,5.1%,6.0%
78957,8.2%,8.7%,11.2%,9.7%,9.0%,7.7%,7.8%,4.7%,4.5%,4.5%
78959,21.1%,17.1%,13.1%,6.7%,3.3%,1.2%,1.2%,1.2%,1.6%,0.8%
76527,6.2%,6.2%,6.2%,5.5%,3.7%,4.7%,5.9%,5.8%,5.5%,5.2%
76539,9.6%,6.9%,8.9%,9.5%,10.3%,9.2%,7.6%,6.3%,4.6%,5.2%
76542,8.9%,10.6%,11.6%,9.9%,10.6%,9.0%,7.9%,7.2%,7.5%,9.0%
76549,12.1%,11.6%,11.8%,9.9%,9.8%,9.5%,9.7%,9.5%,11.1%,10.0%
76550,7.8%,9.6%,9.9%,8.4%,7.1%,7.0%,6.5%,5.8%,6.3%,7.0%
78605,5.3%,6.5%,4.2%,4.7%,4.6%,3.8%,3.8%,3.0%,4.3%,2.6%
78608,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78609,6.1%,7.5%,9.3%,9.3%,8.0%,8.3%,7.4%,4.4%,4.1%,2.8%
78611,3.6%,4.2%,5.2%,6.4%,6.2%,7.2%,5.7%,5.0%,3.0%,2.2%
78639,5.8%,5.2%,6.3%,7.6%,7.7%,10.1%,12.5%,9.4%,7.3%,7.0%
78642,5.8%,5.0%,6.2%,6.9%,5.5%,2.9%,2.3%,5.9%,5.5%,4.8%
78654,8.1%,8.9%,7.9%,7.5%,5.7%,3.5%,3.2%,5.6%,5.1%,4.3%
78657,3.8%,2.6%,3.1%,3.0%,1.7%,2.7%,5.0%,5.2%,6.5%,6.1%
78669,3.2%,3.6%,3.3%,2.8%,3.1%,3.8%,3.2%,3.6%,3.4%,2.6%
78610,6.2%,7.2%,7.9%,7.3%,6.3%,6.0%,4.6%,3.5%,3.0%,3.9%
78622,0.0%,0.0%,4.2%,5.1%,5.7%,6.3%,5.7%,0.0%,0.0%,0.0%
78632,7.8%,6.3%,8.8%,9.4%,6.8%,5.0%,4.1%,0.4%,0.7%,0.6%
78640,6.7%,7.0%,7.2%,6.0%,5.4%,5.3%,4.3%,4.6%,4.0%,3.6%
