zipcode,year,unemployment_rate
98001,2011,0.083
98001,2012,0.091
98001,2013,0.10099999999999999
98001,2014,0.083
98001,2015,0.075
98001,2016,0.066
98001,2017,0.057999999999999996
98001,2018,0.048
98001,2019,0.049
98001,2020,0.053
98001,2021,0.044
98001,2022,0.0396
98002,2011,0.11800000000000001
98002,2012,0.132
98002,2013,0.133
98002,2014,0.11199999999999999
98002,2015,0.08900000000000001
98002,2016,0.086
98002,2017,0.075
98002,2018,0.066
98002,2019,0.055999999999999994
98002,2020,0.06
98002,2021,0.0462
98002,2022,0.0364
98003,2011,0.087
98003,2012,0.09300000000000001
98003,2013,0.099
98003,2014,0.08900000000000001
98003,2015,0.081
98003,2016,0.068
98003,2017,0.055999999999999994
98003,2018,0.066
98003,2019,0.054000000000000006
98003,2020,0.044000000000000004
98003,2021,0.0494
98003,2022,0.044
98004,2011,0.062
98004,2012,0.066
98004,2013,0.069
98004,2014,0.061
98004,2015,0.06
98004,2016,0.048
98004,2017,0.048
98004,2018,0.044000000000000004
98004,2019,0.038
98004,2020,0.035
98004,2021,0.0339
98004,2022,0.0293
98005,2011,0.06
98005,2012,0.066
98005,2013,0.09699999999999999
98005,2014,0.083
98005,2015,0.073
98005,2016,0.053
98005,2017,0.047
98005,2018,0.03
98005,2019,0.024
98005,2020,0.035
98005,2021,0.0155
98005,2022,0.007
98006,2011,0.062
98006,2012,0.073
98006,2013,0.078
98006,2014,0.073
98006,2015,0.066
98006,2016,0.053
98006,2017,0.037000000000000005
98006,2018,0.027999999999999997
98006,2019,0.025
98006,2020,0.024
98006,2021,0.0212
98006,2022,0.0174
98007,2011,0.051
98007,2012,0.053
98007,2013,0.069
98007,2014,0.07200000000000001
98007,2015,0.055999999999999994
98007,2016,0.042
98007,2017,0.043
98007,2018,0.04
98007,2019,0.044000000000000004
98007,2020,0.048
98007,2021,0.043
98007,2022,0.042
98008,2011,0.055
98008,2012,0.06
98008,2013,0.06
98008,2014,0.07200000000000001
98008,2015,0.066
98008,2016,0.057999999999999996
98008,2017,0.057
98008,2018,0.057
98008,2019,0.035
98008,2020,0.035
98008,2021,0.032
98008,2022,0.0221
98010,2011,0.043
98010,2012,0.043
98010,2013,0.046
98010,2014,0.04
98010,2015,0.048
98010,2016,0.043
98010,2017,0.05
98010,2018,0.037000000000000005
98010,2019,0.031
98010,2020,0.02
98010,2021,0.0377
98010,2022,0.0368
98011,2011,0.07400000000000001
98011,2012,0.081
98011,2013,0.081
98011,2014,0.071
98011,2015,0.063
98011,2016,0.057999999999999996
98011,2017,0.055999999999999994
98011,2018,0.05
98011,2019,0.046
98011,2020,0.061
98011,2021,0.0417
98011,2022,0.0373
98014,2011,0.044000000000000004
98014,2012,0.066
98014,2013,0.062
98014,2014,0.057999999999999996
98014,2015,0.051
98014,2016,0.043
98014,2017,0.031
98014,2018,0.027999999999999997
98014,2019,0.036000000000000004
98014,2020,0.035
98014,2021,0.044
98014,2022,0.052
98019,2011,0.062
98019,2012,0.07200000000000001
98019,2013,0.086
98019,2014,0.095
98019,2015,0.078
98019,2016,0.068
98019,2017,0.049
98019,2018,0.045
98019,2019,0.03
98019,2020,0.025
98019,2021,0.0178
98019,2022,0.0055
98021,2011,0.065
98021,2012,0.069
98021,2013,0.08199999999999999
98021,2014,0.077
98021,2015,0.063
98021,2016,0.055999999999999994
98021,2017,0.046
98021,2018,0.036000000000000004
98021,2019,0.033
98021,2020,0.031
98021,2021,0.027
98021,2022,0.0211
98022,2011,0.075
98022,2012,0.087
98022,2013,0.083
98022,2014,0.076
98022,2015,0.062
98022,2016,0.061
98022,2017,0.047
98022,2018,0.043
98022,2019,0.044000000000000004
98022,2020,0.051
98022,2021,0.0406
98022,2022,0.0391
98023,2011,0.099
98023,2012,0.09699999999999999
98023,2013,0.09699999999999999
