Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78602,0.3%,0.3%,0.2%,0.1%,0.2%,0.3%,0.3%,0.3%,0.4%,0.1%
78612,0.0%,0.0%,0.0%,1.2%,1.6%,1.1%,0.8%,0.3%,0.0%,0.0%
78616,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.4%,1.8%,2.2%,1.8%
78617,0.4%,0.6%,0.6%,0.5%,0.5%,0.3%,0.1%,0.1%,0.1%,0.2%
78621,0.1%,0.3%,0.2%,0.2%,0.2%,0.3%,0.1%,0.1%,0.1%,0.0%
78650,0.1%,0.0%,0.0%,0.0%,0.0%,0.3%,0.2%,0.2%,0.2%,0.2%
78659,0.1%,0.1%,0.2%,0.5%,0.5%,1.3%,1.2%,1.3%,0.5%,0.7%
78662,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78941,1.6%,1.6%,0.3%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
78942,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%
78945,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
78953,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78957,0.4%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.4%,0.7%
78959,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.3%
76527,0.1%,0.0%,1.0%,0.7%,0.7%,0.7%,0.6%,0.0%,0.0%,0.0%
76539,0.8%,0.5%,0.4%,0.1%,0.1%,0.1%,0.0%,0.0%,0.3%,0.5%
76542,3.6%,3.5%,3.0%,2.0%,1.8%,1.8%,1.5%,1.3%,1.3%,1.0%
76549,4.9%,3.7%,3.1%,2.0%,1.2%,1.0%,1.4%,1.4%,1.6%,1.3%
76550,0.3%,0.4%,0.6%,0.4%,0.6%,0.5%,0.5%,0.0%,0.0%,0.2%
78605,0.0%,0.0%,0.5%,0.2%,0.3%,0.4%,0.6%,0.4%,0.4%,0.4%
78608,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78609,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78611,0.1%,0.1%,0.3%,0.2%,0.2%,0.2%,0.3%,0.0%,0.3%,0.3%
78639,0.0%,0.0%,0.1%,0.2%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
78642,0.2%,0.0%,0.0%,0.0%,0.3%,0.2%,0.3%,0.4%,0.4%,0.7%
78654,0.2%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.5%,0.6%
78657,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.4%,0.3%
78669,0.0%,0.4%,0.6%,0.8%,0.6%,0.7%,0.1%,0.1%,0.0%,0.0%
78610,0.1%,0.1%,0.2%,0.1%,0.2%,0.2%,0.2%,0.1%,0.1%,0.0%
78622,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78632,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78640,0.2%,0.3%,0.2%,0.6%,0.7%,0.7%,0.6%,0.8%,0.3%,0.2%
78644,0.3%,0.8%,0.8%,0.6%,0.6%,0.6%,0.2%,0.2%,0.2%,0.2%
78648,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
78655,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78656,0.0%,0.0%,2.0%,1.3%,1.0%,1.0%,1.2%,0.0%,0.0%,0.0%
78661,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78666,0.4%,0.3%,0.4%,0.4%,0.6%,0.4%,0.4%,0.4%,0.4%,0.2%
78619,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.4%,1.9%
78620,0.2%,0.5%,0.7%,0.7%,0.6%,0.7%,0.6%,0.5%,0.5%,0.2%
78623,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78652,0.2%,0.3%,0.2%,1.2%,1.1%,1.7%,1.7%,1.7%,0.0%,0.0%
78663,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%
78676,0.1%,0.0%,0.2%,0.3%,0.4%,0.3%,0.2%,0.1%,0.0%,0.0%
78736,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78737,0.3%,0.3%,0.4%,0.8%,0.7%,0.7%,0.9%,1.1%,0.2%,0.2%
78613,0.8%,0.8%,0.8%,0.5%,0.4%,0.8%,0.8%,0.8%,0.9%,0.7%
78615,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,1.7%,1.6%,1.9%,1.3%
78634,0.2%,0.5%,0.7%,0.6%,0.5%,0.9%,0.8%,0.5%,0.6%,0.5%
78641,0.5%,0.5%,0.4%,0.6%,0.4%,0.4%,0.4%,0.3%,0.3%,0.5%
78645,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.1%,0.1%,0.4%,0.7%
78653,0.4%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.2%,0.1%,0.2%
78660,0.6%,0.7%,0.6%,0.3%,0.4%,0.3%,0.3%,0.2%,0.3%,0.3%
78664,0.9%,1.0%,1.0%,0.5%,0.7%,0.8%,1.0%,1.2%,1.3%,1.1%
78701,2.1%,2.3%,1.9%,1.3%,1.8%,1.6%,1.1%,1.7%,2.2%,3.0%
78702,0.4%,0.4%,0.4%,0.2%,0.2%,0.3%,0.7%,0.8%,0.9%,1.1%
78703,1.3%,1.4%,1.2%,1.2%,0.8%,1.1%,0.9%,0.8%,0.5%,0.7%
78704,1.9%,1.6%,0.8%,1.1%,1.0%,0.9%,0.9%,1.0%,0.7%,0.6%
78705,1.0%,1.3%,1.6%,2.1%,2.3%,2.7%,2.5%,2.2%,1.8%,2.2%
78712,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%
78719,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78721,0.1%,0.1%,0.4%,0.4%,0.2%,0.4%,0.5%,0.4%,0.5%,0.7%
78722,1.0%,0.9%,1.2%,1.1%,1.1%,1.3%,1.2%,1.4%,1.9%,1.4%
78723,1.9%,1.3%,1.5%,2.3%,1.9%,1.7%,1.5%,1.4%,0.4%,0.6%
78724,2.2%,2.3%,2.1%,2.0%,1.6%,0.3%,0.2%,0.6%,0.8%,1.1%
78725,1.3%,1.1%,1.6%,0.8%,1.2%,0.0%,0.0%,0.0%,0.2%,0.4%
78726,1.5%,1.2%,1.5%,1.8%,2.2%,0.9%,0.8%,0.2%,0.5%,1.7%
78727,1.2%,1.3%,2.0%,2.5%,2.5%,2.5%,3.0%,3.0%,2.7%,2.3%
78728,1.1%,1.2%,0.6%,0.8%,0.8%,0.8%,0.8%,1.7%,1.5%,1.2%
78729,0.8%,0.9%,0.9%,0.7%,0.6%,0.6%,0.8%,1.5%,1.3%,1.4%
78730,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.3%
78731,2.1%,2.5%,2.8%,2.5%,2.1%,2.6%,2.5%,1.9%,2.2%,2.4%
78732,0.5%,0.5%,0.4%,1.8%,1.5%,1.1%,1.0%,0.9%,0.2%,0.2%
78733,0.0%,0.3%,0.3%,0.5%,0.5%,0.7%,0.2%,0.3%,0.3%,0.3%
78734,0.6%,0.6%,0.7%,0.6%,0.6%,0.8%,0.5%,0.9%,0.8%,0.7%
78735,1.8%,1.3%,1.3%,1.5%,0.7%,1.0%,1.3%,1.1%,1.2%,1.1%
78738,0.5%,0.9%,0.9%,1.7%,1.8%,1.4%,1.2%,1.0%,0.3%,0.0%
78739,0.6%,0.6%,0.4%,0.2%,0.8%,0.4%,0.4%,0.4%,0.5%,0.0%
78741,1.7%,1.7%,1.5%,1.4%,1.2%,1.6%,1.7%,1.4%,1.6%,1.4%
78742,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78744,0.7%,0.6%,0.6%,0.7%,0.5%,0.6%,0.7%,0.7%,1.2%,0.8%
78745,1.1%,1.4%,1.3%,0.8%,0.9%,0.9%,0.6%,0.8%,0.7%,0.3%
78746,0.8%,1.1%,1.1%,1.5%,1.7%,1.2%,1.2%,0.9%,0.7%,0.5%
78747,0.0%,0.1%,0.3%,0.3%,0.3%,0.3%,1.5%,1.9%,1.6%,1.6%
78748,0.5%,0.4%,0.2%,0.3%,0.5%,0.5%,0.5%,0.5%,0.2%,0.2%
78749,0.5%,0.5%,0.7%,0.8%,0.7%,0.6%,0.7%,0.5%,0.5%,0.5%
78750,0.4%,0.4%,0.1%,0.4%,0.4%,0.6%,1.0%,1.2%,1.1%,1.8%
78751,2.0%,1.8%,1.3%,1.5%,1.7%,1.7%,1.9%,1.9%,1.9%,1.4%
78752,1.9%,1.1%,1.1%,1.0%,0.5%,0.9%,0.8%,0.8%,2.1%,1.6%
78753,0.7%,0.8%,0.8%,0.9%,1.1%,1.2%,1.6%,1.6%,1.8%,1.8%
78754,0.8%,0.2%,0.2%,0.4%,0.6%,0.8%,0.9%,0.8%,0.7%,0.3%
78756,2.0%,1.7%,2.1%,0.8%,0.7%,0.4%,0.9%,0.6%,2.4%,2.1%
78757,1.4%,1.3%,1.3%,0.7%,0.5%,0.3%,0.3%,0.4%,0.4%,0.3%
78758,1.0%,0.8%,1.1%,1.4%,1.4%,1.6%,2.0%,1.6%,1.4%,1.6%
78759,0.3%,1.1%,1.2%,1.2%,1.2%,1.6%,1.5%,1.3%,1.5%,1.9%
76511,0.7%,0.4%,0.3%,0.3%,0.4%,0.1%,0.1%,0.1%,0.1%,0.1%
76530,0.0%,0.3%,0.2%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%
76537,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%
76573,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
76574,0.1%,0.6%,0.6%,1.0%,1.5%,1.9%,2.2%,2.1%,1.6%,1.2%
76577,0.0%,0.0%,0.0%,1.1%,1.0%,1.9%,1.4%,1.4%,0.2%,0.2%
76578,0.7%,0.7%,0.8%,0.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78626,0.6%,0.5%,0.7%,0.8%,0.4%,0.4%,0.3%,0.3%,0.2%,0.2%
78628,0.2%,0.2%,0.3%,0.4%,0.3%,0.5%,0.5%,0.5%,0.6%,0.5%
78633,0.3%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.1%,0.1%
78665,1.1%,0.6%,0.3%,0.4%,0.4%,0.3%,0.3%,0.3%,0.5%,1.1%
78681,1.6%,1.1%,1.1%,1.4%,1.1%,0.8%,1.1%,1.2%,1.1%,0.9%
78717,0.2%,0.6%,0.7%,0.9%,1.1%,1.2%,1.0%,0.5%,1.2%,1.0%
