Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78602,2.3%,2.8%,2.5%,1.7%,1.8%,1.8%,1.7%,1.2%,1.3%,1.2%
78612,1.5%,1.2%,1.6%,1.6%,1.5%,1.2%,0.8%,0.7%,1.9%,3.1%
78616,1.8%,1.6%,0.2%,0.0%,1.9%,1.9%,1.8%,1.9%,1.9%,0.6%
78617,0.7%,0.5%,0.6%,0.3%,0.4%,0.2%,1.1%,2.0%,2.3%,2.6%
78621,0.7%,1.0%,0.6%,0.9%,0.7%,0.7%,1.5%,1.5%,1.4%,1.4%
78650,0.0%,0.4%,0.5%,0.4%,0.5%,1.4%,1.0%,5.9%,4.8%,9.0%
78659,1.4%,0.1%,1.0%,0.7%,0.5%,0.7%,0.8%,0.0%,0.0%,0.0%
78662,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78941,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.4%,0.5%,0.5%
78942,1.9%,2.0%,1.0%,0.9%,1.3%,1.2%,0.7%,0.5%,1.2%,0.5%
78945,1.2%,1.3%,1.1%,0.9%,0.0%,0.2%,0.2%,0.2%,0.2%,0.3%
78953,9.0%,6.3%,6.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78957,1.5%,0.7%,0.7%,0.9%,0.6%,0.5%,1.0%,1.0%,1.5%,1.4%
78959,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.2%,0.5%,0.5%,0.3%
76527,0.0%,0.2%,0.4%,0.4%,0.7%,1.6%,1.6%,1.9%,2.1%,1.2%
76539,2.8%,2.0%,1.5%,1.2%,1.7%,3.3%,3.6%,3.8%,3.4%,3.0%
76542,9.3%,8.3%,8.7%,8.2%,7.9%,6.1%,6.5%,6.7%,7.0%,5.7%
76549,11.5%,11.0%,11.4%,11.4%,11.3%,8.2%,8.3%,7.8%,8.0%,8.2%
76550,0.7%,0.8%,0.8%,0.6%,1.0%,1.2%,1.2%,1.2%,0.9%,0.5%
78605,0.1%,0.1%,0.1%,0.5%,0.5%,0.4%,0.4%,0.5%,0.1%,0.2%
78608,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
78609,2.0%,1.5%,0.8%,0.6%,0.1%,0.8%,1.7%,2.7%,2.0%,1.3%
78611,1.6%,2.2%,1.1%,0.9%,1.1%,1.6%,2.0%,2.1%,2.0%,2.1%
78639,1.1%,2.9%,2.9%,2.0%,2.3%,1.7%,0.0%,0.0%,0.0%,0.4%
78642,4.8%,2.4%,1.3%,0.5%,0.7%,1.7%,1.7%,1.9%,1.9%,1.5%
