Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78602,5.0%,7.2%,8.6%,10.0%,11.2%,9.9%,8.9%,7.0%,6.2%,5.7%
78612,4.2%,3.8%,4.4%,4.3%,4.5%,6.0%,5.9%,3.7%,3.6%,5.6%
78616,5.8%,8.1%,10.0%,7.9%,7.7%,5.5%,3.9%,5.9%,5.6%,6.1%
78617,3.4%,3.8%,4.1%,4.2%,6.3%,5.4%,4.1%,4.9%,5.6%,4.0%
78621,4.0%,4.9%,4.8%,7.0%,7.4%,8.9%,8.8%,7.4%,8.6%,7.7%
78650,3.7%,1.7%,1.1%,1.9%,1.8%,2.4%,4.1%,4.0%,2.9%,5.1%
78659,1.1%,0.5%,2.6%,2.1%,5.0%,4.7%,8.1%,4.0%,4.8%,4.7%
78662,3.4%,4.3%,4.5%,1.9%,2.9%,2.1%,1.1%,1.5%,2.8%,1.3%
78941,2.2%,2.5%,4.0%,4.3%,4.8%,5.2%,5.1%,5.1%,3.0%,2.5%
78942,8.3%,7.4%,10.4%,5.8%,4.7%,5.9%,6.7%,6.2%,5.6%,6.4%
78945,2.3%,2.5%,2.4%,2.6%,2.4%,2.4%,2.4%,1.7%,2.8%,1.7%
78953,0.0%,3.5%,4.1%,6.2%,6.8%,8.2%,3.9%,4.2%,2.4%,3.5%
78957,2.6%,2.5%,2.3%,2.2%,3.1%,4.4%,4.4%,4.2%,2.9%,3.4%
78959,0.7%,0.2%,0.2%,0.0%,2.0%,2.2%,2.2%,2.4%,2.8%,0.9%
76527,2.1%,3.1%,2.9%,2.7%,2.9%,5.6%,6.4%,6.5%,6.9%,5.2%
76539,8.4%,7.7%,8.0%,6.0%,5.0%,4.4%,3.8%,1.9%,1.5%,3.8%
76542,2.0%,1.6%,1.5%,2.4%,2.8%,2.8%,3.7%,3.8%,3.5%,5.2%
76549,3.6%,3.8%,3.2%,2.6%,2.8%,3.6%,4.0%,5.0%,4.8%,4.5%
76550,6.5%,7.8%,4.4%,2.7%,2.3%,3.8%,3.2%,4.0%,4.0%,5.0%
78605,3.7%,3.9%,5.8%,5.3%,5.1%,7.1%,7.9%,7.0%,7.2%,7.0%
