ZipCode,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,
90333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675000.0,,
90838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809900.0,,
90855,,,,,,,,,,,,,,,,,,,,,,,,294950.0,,,,,,,,,,,,,,,,,
95055,,,,,,,,,,,,,,,,,,,,,,,,274950.0,,,,,,,,,,,,,,,,,
95059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000.0,,,
95125,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,750000.0,,,,,,,,,
98000,,,,,,189000.0,211000.0,,,124999.0,409000.0,364950.0,369950.0,533000.0,476500.0,394950.0,585000.0,447475.0,520000.0,,,,665000.0,494000.0,,377475.0,,887500.0,599950.0,663700.0,384000.0,555000.0,753000.5,660500.0,831000.0,,1245273.0,,1750000.0,2200000.0,
98001,69475.0,72990.0,70800.0,75470.0,77000.0,78750.0,95000.0,99975.0,117500.0,119950.0,117500.0,123975.0,125000.0,129000.0,134500.0,139500.0,146000.0,159950.0,175000.0,196250.0,195000.0,210000.0,238637.5,273000.0,319200.0,326559.0,283551.5,240000.0,238700.0,200000.0,200000.0,227000.0,237000.0,276000.0,299950.0,338500.0,380000.0,388000.0,431000.0,532000.0,600000.0
98002,59300.0,60711.0,60750.0,64500.0,62000.0,65750.0,67750.0,77657.5,90000.0,104000.0,103500.0,98000.0,105900.0,108164.5,117000.0,120000.0,131975.0,140450.0,147995.0,160000.0,170000.0,172000.0,187000.0,227500.0,250000.0,260000.0,251749.5,216000.0,186250.0,151024.0,159000.0,180000.0,198058.0,218000.0,255000.0,288500.0,313245.0,335000.0,380000.0,450000.0,472500.0
