Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98001,8.3%,9.1%,10.1%,8.3%,7.5%,6.6%,5.8%,4.8%,4.9%,5.3%
98002,11.8%,13.2%,13.3%,11.2%,8.9%,8.6%,7.5%,6.6%,5.6%,6.0%
98003,8.7%,9.3%,9.9%,8.9%,8.1%,6.8%,5.6%,6.6%,5.4%,4.4%
98004,6.2%,6.6%,6.9%,6.1%,6.0%,4.8%,4.8%,4.4%,3.8%,3.5%
98005,6.0%,6.6%,9.7%,8.3%,7.3%,5.3%,4.7%,3.0%,2.4%,3.5%
98006,6.2%,7.3%,7.8%,7.3%,6.6%,5.3%,3.7%,2.8%,2.5%,2.4%
98007,5.1%,5.3%,6.9%,7.2%,5.6%,4.2%,4.3%,4.0%,4.4%,4.8%
98008,5.5%,6.0%,6.0%,7.2%,6.6%,5.8%,5.7%,5.7%,3.5%,3.5%
98010,4.3%,4.3%,4.6%,4.0%,4.8%,4.3%,5.0%,3.7%,3.1%,2.0%
98011,7.4%,8.1%,8.1%,7.1%,6.3%,5.8%,5.6%,5.0%,4.6%,6.1%
98014,4.4%,6.6%,6.2%,5.8%,5.1%,4.3%,3.1%,2.8%,3.6%,3.5%
98019,6.2%,7.2%,8.6%,9.5%,7.8%,6.8%,4.9%,4.5%,3.0%,2.5%
98021,6.5%,6.9%,8.2%,7.7%,6.3%,5.6%,4.6%,3.6%,3.3%,3.1%
98022,7.5%,8.7%,8.3%,7.6%,6.2%,6.1%,4.7%,4.3%,4.4%,5.1%
98023,9.9%,9.7%,9.7%,8.7%,8.0%,6.4%,6.2%,6.2%,5.6%,5.0%
98024,6.2%,5.1%,5.9%,5.4%,7.4%,5.4%,5.2%,4.4%,3.8%,1.6%
98027,6.3%,6.1%,6.2%,5.4%,4.7%,4.1%,3.5%,3.5%,3.5%,4.0%
98028,5.5%,6.9%,7.9%,7.1%,6.3%,5.2%,4.1%,4.4%,3.6%,3.2%
98029,6.6%,6.2%,7.1%,7.3%,6.7%,6.4%,6.4%,5.2%,4.3%,3.1%
98030,8.2%,9.5%,10.7%,8.8%,8.3%,6.1%,6.4%,5.7%,6.1%,8.1%
98031,8.1%,8.1%,9.0%,10.1%,8.8%,7.2%,6.8%,6.2%,5.2%,5.8%
98032,10.2%,10.9%,10.3%,10.4%,8.7%,7.4%,6.8%,6.4%,5.9%,7.5%
98033,5.7%,6.4%,6.6%,6.5%,6.1%,4.9%,4.0%,3.1%,2.8%,3.5%
98034,6.1%,7.1%,7.9%,7.8%,6.8%,6.0%,5.3%,4.0%,3.8%,4.8%
98038,6.0%,6.7%,7.8%,8.4%,8.2%,6.6%,5.9%,5.3%,4.7%,5.0%
98039,3.1%,2.6%,1.5%,2.2%,2.4%,2.0%,3.2%,2.9%,2.5%,1.6%
98040,4.2%,3.9%,5.6%,4.5%,5.1%,4.6%,4.2%,3.6%,4.0%,2.2%
98042,5.1%,5.6%,6.3%,6.5%,5.7%,5.1%,4.7%,4.0%,3.2%,3.2%
98043,8.2%,8.0%,8.3%,7.5%,6.8%,5.0%,4.9%,3.9%,3.6%,3.0%
98045,4.9%,5.2%,5.5%,4.8%,4.1%,4.7%,4.1%,3.5%,3.2%,3.5%
